obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"758.9610"	"0.0010"	"758.9625+"	"6"	""		"78956.031"	"92128.287"	"5p5.(2P*<3/2>).6p"	"2[3/2]"	"1"	"5p5.(2P*<3/2>).7d"	"2[1/2]*"	"1"		""	"L4739"	
"759.4360"	"0.0010"	"759.433+"	"1"	""		"80970.438"	"94134.53"	"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"3"	"5p5.(2P*<3/2>).9p"	"2[5/2]"	"3"		""	"L4739"	
"760.0770"	"0.0010"	"760.076+"	"10"	""		"82430.204"	"95583.16"	"5p5.(2P*<3/2>).5d"	"2[5/2]*"	"3"	"5p5.(2P*<3/2>).7f"	"2[7/2]"	"4"		""	"L4739"	
"760.4970"	"0.0010"	"760.4924+"	"2h"	""		"82430.204"	"95575.960"	"5p5.(2P*<3/2>).5d"	"2[5/2]*"	"3"	"5p5.(2P*<3/2>).7f"	"2[5/2]"	"3"		""	"L4739"	
"760.8460"	"0.0010"	"760.842+"	"5"	""		"80970.438"	"94110.15"	"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"3"	"5p5.(2P*<3/2>).9p"	"2[5/2]"	"2"		""	"L4739"	
"760.9820"	"0.0010"	"760.983+"	"3"	""		"82430.204"	"95567.48"	"5p5.(2P*<3/2>).5d"	"2[5/2]*"	"3"	"5p5.(2P*<3/2>).7f"	"2[9/2]"	"4"		""	"L4739"	
"764.2024"	"0.0002"	"764.2023+"	"500"	"2.1e+07"	C+	"76196.767"	"89278.706"	"5p5.(2P*<1/2>).6s"	"2[1/2]*"	"0"	"5p5.(2P*<1/2>).6p"	"2[1/2]"	"1"		"T5100n,T3269"	"L7292c110"	
"764.2300"	"0.0010"	"764.2443+"	""	""		"80322.746"	"93403.966"	"5p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).5f"	"2[5/2]"	"2"		""	"L4739"	
"764.3910"	"0.0010"	"764.3904+"	"100"	""		"80322.746"	"93401.466"	"5p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).5f"	"2[5/2]"	"3"		""	"L4739"	
"766.4020"	"0.0010"	"766.4008+"	"10"	""		"78403.061"	"91447.474"	"5p5.(2P*<3/2>).6p"	"2[5/2]"	"3"	"5p5.(2P*<1/2>).5d"	"2[3/2]*"	"2"		""	"L4739"	
"766.4560"	"0.0010"	"766.4545+"	"30"	""		"80322.746"	"93366.245"	"5p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).5f"	"2[3/2]"	"2"		""	"L4739"	
"766.6610"	"0.0010"	"766.6646+"	"10"	""		"80322.746"	"93362.671"	"5p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).5f"	"2[3/2]"	"1"		""	"L4739"	
"767.0810"	"0.0010"	"767.0794+"	"1"	""		"78119.798"	"91152.670"	"5p5.(2P*<3/2>).6p"	"2[5/2]"	"2"	"5p5.(2P*<1/2>).5d"	"2[5/2]*"	"2"		""	"L4739"	
"774.0310"	"0.0010"	"774.0312+"	"40"	""		"79212.465"	"92128.287"	"5p5.(2P*<3/2>).6p"	"2[3/2]"	"2"	"5p5.(2P*<3/2>).7d"	"2[1/2]*"	"1"		""	"L4739"	
"776.215"	"0.020"	"776.21+"	"4"	""		"88549.775"	"101429.3"	"5p5.(2P*<3/2>).6d"	"2[1/2]*"	"1"	"5p5.(2P*<1/2>).4f"	"2[5/2]"	"2"		""	"L4103"	
"778.3660"	"0.0010"	"778.3624+"	"50"	""		"81925.514"	"94769.465"	"5p5.(2P*<3/2>).5d"	"2[5/2]*"	"2"	"5p5.(2P*<3/2>).6f"	"2[7/2]"	"3"		""	"L4739"	
"778.9420"	"0.0010"	"778.9404+"	"15"	""		"81925.514"	"94759.935"	"5p5.(2P*<3/2>).5d"	"2[5/2]*"	"2"	"5p5.(2P*<3/2>).6f"	"2[5/2]"	"2"		""	"L4739"	
"779.0530"	"0.0010"	"779.0508+"	"1"	""		"81925.514"	"94758.116"	"5p5.(2P*<3/2>).5d"	"2[5/2]*"	"2"	"5p5.(2P*<3/2>).6f"	"2[5/2]"	"3"		""	"L4739"	
"780.2651"	"0.0002"	"780.2649+"	"100"	"2.28e+06"	B+	"78119.798"	"90932.432"	"5p5.(2P*<3/2>).6p"	"2[5/2]"	"2"	"5p5.(2P*<3/2>).8s"	"2[3/2]*"	"1"		"T5818"	"L7292"	
"780.464"	"0.020"	"780.4639+"	"10"	""		"81925.514"	"94734.882"	"5p5.(2P*<3/2>).5d"	"2[5/2]*"	"2"	"5p5.(2P*<3/2>).6f"	"2[3/2]"	"1"		""	"L4093c2"	
"782.555"	"0.020"	"782.53+"	"30"	""		"91152.670"	"103928.2"	"5p5.(2P*<1/2>).5d"	"2[5/2]*"	"2"	"5p5.(2P*<1/2>).5f"	"2[7/2]"	"3"		""	"L4103"	
"783.2980"	"0.0010"	"783.2987+"	"10"	""		"77269.145"	"90032.155"	"5p5.(2P*<3/2>).6p"	"2[1/2]"	"1"	"5p5.(2P*<3/2>).6d"	"2[3/2]*"	"1"		""	"L4739"	
"784.1230"	"0.0010"	"784.1220+"	"15"	""		"78403.061"	"91152.670"	"5p5.(2P*<3/2>).6p"	"2[5/2]"	"3"	"5p5.(2P*<1/2>).5d"	"2[5/2]*"	"2"		""	"L4739"	
"788.1320"	"0.0002"	"788.1320+"	"100"	"5.50e+05"	B+	"78119.798"	"90804.538"	"5p5.(2P*<3/2>).6p"	"2[5/2]"	"2"	"5p5.(2P*<3/2>).8s"	"2[3/2]*"	"2"		"T5818"	"L7292"	
"788.7393"	"0.0002"	"788.7393+"	"300"	"3.5e+07"	C+	"77185.041"	"89860.015"	"5p5.(2P*<1/2>).6s"	"2[1/2]*"	"1"	"5p5.(2P*<1/2>).6p"	"2[1/2]"	"0"		"T4106n,T5100,T3269"	"L7292c110"	
"793.7410"	"0.0010"	"793.7427+"	"40"	""		"80118.962"	"92714.038"	"5p5.(2P*<3/2>).6p"	"2[1/2]"	"0"	"5p5.(2P*<3/2>).7d"	"2[3/2]*"	"1"		""	"L4739"	
"795.4220"	"0.0010"	"795.4200+"	"4"	""		"79986.618"	"92555.135"	"5p5.(2P*<3/2>).5d"	"2[1/2]*"	"1"	"5p5.(2P*<3/2>).8p"	"2[1/2]"	"0"		""	"L4739"	
"796.7342"	"0.0002"	"796.7338+"	"500"	"3.4e+06"	D+	"76196.767"	"88744.559"	"5p5.(2P*<1/2>).6s"	"2[1/2]*"	"0"	"5p5.(2P*<3/2>).7p"	"2[3/2]"	"1"		"T8608"	"L7292c110"	
"797.6030"	"0.0010"	"797.6042+"	"8"	""		"79212.465"	"91746.564"	"5p5.(2P*<3/2>).6p"	"2[3/2]"	"2"	"5p5.(2P*<1/2>).5d"	"2[5/2]*"	"3"		""	"L4739"	
