obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"680.812"	"0.020"	"680.78+"	"5"	""		"89243.258"	"103928.2"	"5p5.(2P*<3/2>).6d"	"2[5/2]*"	"2"	"5p5.(2P*<1/2>).5f"	"2[7/2]"	"3"		""	"L4103"	
"681.5640"	"0.0010"	"681.5624+"	"12"	"2.10e+05"	B+	"80118.962"	"94787.084"	"5p5.(2P*<3/2>).6p"	"2[1/2]"	"0"	"5p5.(2P*<3/2>).10s"	"2[3/2]*"	"1"		"T5818"	"L4739"	
"681.8380"	"0.0010"	"681.837+"	"15"	""		"78956.031"	"93618.24"	"5p5.(2P*<3/2>).6p"	"2[3/2]"	"1"	"5p5.(2P*<1/2>).5d"	"2[3/2]*"	"1"		""	"L4739"	
"682.7315"	"0.0002"	"682.7313+"	"200"	""		"76196.767"	"90839.777"	"5p5.(2P*<1/2>).6s"	"2[1/2]*"	"0"	"5p5.(2P*<3/2>).4f"	"2[3/2]"	"1"		""	"L7292"	
"684.0960"	"0.0010"	"684.0960+"	"8"	""		"78119.798"	"92733.597"	"5p5.(2P*<3/2>).6p"	"2[5/2]"	"2"	"5p5.(2P*<3/2>).7d"	"2[5/2]*"	"3"		""	"L4739"	
"684.1500"	"0.0010"	"684.146+"	"20*"	""		"80970.438"	"95583.16"	"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"3"	"5p5.(2P*<3/2>).7f"	"2[7/2]"	"4"		""	"L4739"	
"684.1500"	"0.0010"	"684.150+"	"20*"	""		"80970.438"	"95583.08"	"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"3"	"5p5.(2P*<3/2>).7f"	"2[7/2]"	"3"		""	"L4739"	
"684.4270"	"0.0010"	"684.426+"	"1"	""		"80970.438"	"95577.20"	"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"3"	"5p5.(2P*<3/2>).7f"	"2[5/2]"	"2"		""	"L4739"	
"684.4840"	"0.0010"	"684.4837+"	"2h"	""		"80970.438"	"95575.960"	"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"3"	"5p5.(2P*<3/2>).7f"	"2[5/2]"	"3"		""	"L4739"	
"684.6613"	"0.0002"	"684.6613+"	"60"	""		"78119.798"	"92721.530"	"5p5.(2P*<3/2>).6p"	"2[5/2]"	"2"	"5p5.(2P*<3/2>).7d"	"2[3/2]*"	"2"		""	"L7292"	
"684.8820"	"0.0010"	"684.881+"	"50"	""		"80970.438"	"95567.48"	"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"3"	"5p5.(2P*<3/2>).7f"	"2[9/2]"	"4"		""	"L4739"	
"685.0130"	"0.0010"	"685.0128+"	"30"	""		"78119.798"	"92714.038"	"5p5.(2P*<3/2>).6p"	"2[5/2]"	"2"	"5p5.(2P*<3/2>).7d"	"2[3/2]*"	"1"		""	"L4739"	
"686.0190"	"0.0010"	"686.0162+"	"40"	""		"80196.629"	"94769.524"	"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"4"	"5p5.(2P*<3/2>).6f"	"2[7/2]"	"4"		""	"L4739"	
