obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"381.750"	"0.003"	"381.7547"	"0.0021"	"7"	"5.73e+08"		"186383.8"	"212571.2"	"3p5.4p"	"3D"	"3"	"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"		"T8304"	"L3490"	
"382.130"	"0.003"	"382.1341"	"0.0021"	"3"	"6.88e+06"		"189239.5"	"215400.9"	"3p5.4p"	"1P"	"1"	"3p5.4d"	"3P*"	"1"		"T8304"	"L3490"	
"384.402"	"0.003"	"384.3984"	"0.0021"	"1"	"1.12e+07"		"163232.2"	"189239.5"	"3p5.4s"	"3P*"	"1"	"3p5.4p"	"1P"	"1"		"T8304"	"L3490"	
"386.141"	"0.003"	"386.1430"	"0.0021"	"3"	"1.26e+08"		"186681.4"	"212571.2"	"3p5.4p"	"3D"	"2"	"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"		"T8304"	"L3490"	
"387.374"	"0.003"	"387.3760"	"0.0021"	"5"	"2.91e+07"		"163432.1"	"189239.5"	"3p5.3d"	"3P*"	"0"	"3p5.4p"	"1P"	"1"		"T8304"	"L3490"	
"387.862"	"0.003"	"387.8614"	"0.0021"	"4"	"9.88e+07"		"189239.5"	"215014.6"	"3p5.4p"	"1P"	"1"	"3p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"		"T8304"	"L3490"	
"388.342"	"0.003"	"388.3375"	"0.0021"	"3"	"1.71e+08"		"189657.4"	"215400.9"	"3p5.4p"	"3P"	"2"	"3p5.4d"	"3P*"	"1"		"T8304"	"L3490"	
"388.684"	"0.003"	"388.6803"	"0.0021"	"2"	"2.01e+07"		"190130.7"	"215851.5"	"3p5.4p"	"3P"	"1"	"3p5.4d"	"3P*"	"2"		"T8304"	"L3490"	
"389.792"	"0.003"	"389.7896"	"0.0021"	"8"	"3.63e+08"		"162502.7"	"188150.3"	"3p5.4s"	"3P*"	"2"	"3p5.4p"	"1D"	"2"		"T8304"	"L3490"	
"389.928"	"0.003"	"389.9249"	"0.0022"	"3"	"5.16e+06"		"164492.0"	"190130.7"	"3p5.3d"	"3P*"	"1"	"3p5.4p"	"3P"	"1"		"T8304"	"L3490"	
"390.011"	"0.003"	"390.0131"	"0.0022"	"3"	"7.75e+07"		"189768.0"	"215400.9"	"3p5.4p"	"3P"	"0"	"3p5.4d"	"3P*"	"1"		"T8304"	"L3490"	
"392.300"	"0.003"	"392.304"	"0.003"	"5"	"5.55e+07"		"189239.5"	"214722.7"	"3p5.4p"	"1P"	"1"	"3p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"		"T8304"	"L3490"	
"392.636"	"0.003"	"392.6371"	"0.0022"	"5"	"1.36e+08"		"187527.0"	"212988.6"	"3p5.4p"	"3D"	"1"	"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"		"T8304"	"L3490"	
"393.436"	"0.003"	"393.441"	"0.003"	"5"	"7.10e+08"		"201957.6"	"227367.2"	"3p5.3d"	"1P*"	"1"	"3p5.(2P*<3/2>).4f"	"2[5/2]"	"2"		"T8304"	"L3490"	
"394.253"	"0.003"	"394.2537"	"0.0022"	"6"	"1.86e+08"		"189657.4"	"215014.6"	"3p5.4p"	"3P"	"2"	"3p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"		"T8304"	"L3490"	
"395.521"	"0.003"	"395.5203"	"0.0022"	"6"	"8.86e+07"		"164492.0"	"189768.0"	"3p5.3d"	"3P*"	"1"	"3p5.4p"	"3P"	"0"		"T8304"	"L3490"	
"395.610"	"0.003"	"395.6111"	"0.0022"	"3"	"9.07e+07"		"190130.7"	"215400.9"	"3p5.4p"	"3P"	"1"	"3p5.4d"	"3P*"	"1"		"T8304"	"L3490"	
"395.984"	"0.003"	"395.9809"	"0.0022"	"3"	"3.25e+06"		"189768.0"	"215014.6"	"3p5.4p"	"3P"	"0"	"3p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"		"T8304"	"L3490"	
"396.672"	"0.003"	"396.6691"	"0.0022"	"6"	"4.71e+07"		"164927.9"	"190130.7"	"3p5.3d"	"3P*"	"2"	"3p5.4p"	"3P"	"1"		"T8304"	"L3490"	
"397.258"	"0.003"	"397.255"	"0.004"	"6bl*"	"5.88e+08"		"201957.6"	"227123.2"	"3p5.3d"	"1P*"	"1"	"3p5.(2P*<3/2>).4f"	"2[3/2]"	"2"		"T8304"	"L12188"	
"397.258"	"0.003"	"397.2586"	"0.0022"	"6bl*"	"4.43e+07"		"164492.0"	"189657.4"	"3p5.3d"	"3P*"	"1"	"3p5.4p"	"3P"	"2"		"T8304"	"L12188"	
"399.180"	"0.003"	"399.1812"	"0.0023"	"4"	"2.29e+07"		"187527.0"	"212571.2"	"3p5.4p"	"3D"	"1"	"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"		"T8304"	"L12188"	
"399.510"	"0.003"	"399.4986"	"0.0023"	"6"	"4.61e+07"		"162502.7"	"187527.0"	"3p5.4s"	"3P*"	"2"	"3p5.4p"	"3D"	"1"		"T8304"	"L3490"	
"400.124"	"0.003"	"400.122"	"0.004"	"7"	"1.50e+08"		"165145.4"	"190130.7"	"3p5.4s"	"3P*"	"0"	"3p5.4p"	"3P"	"1"		"T8304"	"L3490"	
"401.210"	"0.003"	"401.2013"	"0.0023"	"5"	"4.37e+07"		"163232.2"	"188150.3"	"3p5.4s"	"3P*"	"1"	"3p5.4p"	"1D"	"2"		"T8304"	"L3490"	
"401.752"	"0.003"	"401.7527"	"0.0023"	"4"	"6.75e+07"		"190130.7"	"215014.6"	"3p5.4p"	"3P"	"1"	"3p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"		"T8304"	"L3490"	
"402.488"	"0.003"	"402.4903"	"0.0023"	"4"	"1.10e+08"		"188150.3"	"212988.6"	"3p5.4p"	"1D"	"2"	"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"		"T8304"	"L3490"	
"403.969"	"0.003"	"403.9671"	"0.0023"	"4"	"4.08e+07"		"164492.0"	"189239.5"	"3p5.3d"	"3P*"	"1"	"3p5.4p"	"1P"	"1"		"T8304"	"L3490"	
"404.259"	"0.003"	"404.2611"	"0.0023"	"6"	"9.30e+07"		"164927.9"	"189657.4"	"3p5.3d"	"3P*"	"2"	"3p5.4p"	"3P"	"2"		"T8304"	"L3490"	
"406.523"	"0.003"	"406.522"	"0.004"	"4"	"2.30e+07"		"190130.7"	"214722.7"	"3p5.4p"	"3P"	"1"	"3p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"		"T8304"	"L3490"	
"409.369"	"0.003"	"409.3698"	"0.0024"	"5"	"1.60e+08"		"188150.3"	"212571.2"	"3p5.4p"	"1D"	"2"	"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"		"T8304"	"L3490"	
"411.214"	"0.003"	"411.2103"	"0.0024"	"4"	"1.36e+07"		"164927.9"	"189239.5"	"3p5.3d"	"3P*"	"2"	"3p5.4p"	"1P"	"1"		"T8304"	"L3490"	
"411.499"	"0.003"	"411.4946"	"0.0024"	"6"	"2.34e+08"		"163232.2"	"187527.0"	"3p5.4s"	"3P*"	"1"	"3p5.4p"	"3D"	"1"		"T8304"	"L3490"	
"413.472"	"0.003"	"413.4705"	"0.0024"	"7"	"2.31e+08"		"162502.7"	"186681.4"	"3p5.4s"	"3P*"	"2"	"3p5.4p"	"3D"	"2"		"T8304"	"L3490"	
"414.919"	"0.003"	"414.9086"	"0.0024"	"7bl*"	"1.68e+08"		"163432.1"	"187527.0"	"3p5.3d"	"3P*"	"0"	"3p5.4p"	"3D"	"1"		"T8304"	"L12188"	
"414.919"	"0.003"	"414.922"	"0.004"	"7bl*"	"4.41e+07"		"165145.4"	"189239.5"	"3p5.4s"	"3P*"	"0"	"3p5.4p"	"1P"	"1"		"T8304"	"L12188"	
"418.624"	"0.003"	"418.6232"	"0.0025"	"8"	"1.03e+09"		"162502.7"	"186383.8"	"3p5.4s"	"3P*"	"2"	"3p5.4p"	"3D"	"3"		"T8304"	"L3490"	
"420.949"	"0.003"	"420.950"	"0.003"	"4"	"4.37e+07"		"189239.5"	"212988.6"	"3p5.4p"	"1P"	"1"	"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"		"T8304"	"L3490"	
"422.297"	"0.003"	"422.296"	"0.003"	"7"	"2.30e+08"		"166457.3"	"190130.7"	"3p5.4s"	"1P*"	"1"	"3p5.4p"	"3P"	"1"		"T8304"	"L3490"	
"422.567"	"0.003"	"422.566"	"0.003"	"7"	"9.42e+07"		"164492.0"	"188150.3"	"3p5.3d"	"3P*"	"1"	"3p5.4p"	"1D"	"2"		"T8304"	"L3490"	
"426.340"	"0.003"	"426.334"	"0.003"	"7"	"3.91e+08"		"163232.2"	"186681.4"	"3p5.4s"	"3P*"	"1"	"3p5.4p"	"3D"	"2"		"T8304"	"L3490"	
"428.489"	"0.003"	"428.481"	"0.003"	"3bl*"	"9.52e+06"		"189239.5"	"212571.2"	"3p5.4p"	"1P"	"1"	"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"		"T8304"	"L12188"	
"428.489"	"0.003"	"428.490"	"0.003"	"3bl*"	"6.97e+06"		"189657.4"	"212988.6"	"3p5.4p"	"3P"	"2"	"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"		"T8304"	"L12188"	
"428.870"	"0.003"	"428.867"	"0.003"	"4"	"1.16e+07"		"166457.3"	"189768.0"	"3p5.4s"	"1P*"	"1"	"3p5.4p"	"3P"	"0"		"T8304"	"L3490"	
"430.500"	"0.003"	"430.498"	"0.003"	"7"	"8.66e+07"		"164927.9"	"188150.3"	"3p5.3d"	"3P*"	"2"	"3p5.4p"	"1D"	"2"		"T8304"	"L3490"	
"430.527"	"0.003"	"430.531"	"0.003"	"0"	"4.52e+07"		"189768.0"	"212988.6"	"3p5.4p"	"3P"	"0"	"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"		"T8304"	"L12188"	
"430.910"	"0.003"	"430.911"	"0.003"	"7"	"4.19e+08"		"166457.3"	"189657.4"	"3p5.4s"	"1P*"	"1"	"3p5.4p"	"3P"	"2"		"T8304"	"L3490"	
"434.003"	"0.003"	"434.000"	"0.003"	"5"	"6.52e+07"		"164492.0"	"187527.0"	"3p5.3d"	"3P*"	"1"	"3p5.4p"	"3D"	"1"		"T8304"	"L3490"	
"436.296"	"0.003"	"436.296"	"0.003"	"3"	"5.88e+07"		"189657.4"	"212571.2"	"3p5.4p"	"3P"	"2"	"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"		"T8304"	"L3490"	
"438.816"	"0.003"	"438.816"	"0.003"	"7"	"1.80e+08"		"166457.3"	"189239.5"	"3p5.4s"	"1P*"	"1"	"3p5.4p"	"1P"	"1"		"T8304"	"L3490"	
"442.373"	"0.003"	"442.371"	"0.003"	"3"	"7.76e+06"		"164927.9"	"187527.0"	"3p5.3d"	"3P*"	"2"	"3p5.4p"	"3D"	"1"		"T8304"	"L3490"	
"445.500"	"0.003"	"445.498"	"0.003"	"2"	"2.93e+07"		"190130.7"	"212571.2"	"3p5.4p"	"3P"	"1"	"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"		"T8304"	"L3490"	
"446.665"	"0.003"	"446.670"	"0.004"	"5"	"5.20e+07"		"165145.4"	"187527.0"	"3p5.4s"	"3P*"	"0"	"3p5.4p"	"3D"	"1"		"T8304"	"L3490"	
"450.533"	"0.003"	"450.525"	"0.006"	"6bl*"	"8.27e+04"		"215014.6"	"237204.7"	"3p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"3p5.(2P*<3/2>).5f"	"2[3/2]"	"1"		"T8304"	"L12188"	
"450.533"	"0.003"	"450.539"	"0.003"	"6bl*"	"6.16e+07"		"164492.0"	"186681.4"	"3p5.3d"	"3P*"	"1"	"3p5.4p"	"3D"	"2"		"T8304"	"L12188"	
"459.565"	"0.003"	"459.567"	"0.003"	"5"	"1.24e+07"		"164927.9"	"186681.4"	"3p5.3d"	"3P*"	"2"	"3p5.4p"	"3D"	"2"		"T8304"	"L3490"	
"460.845"	"0.003"	"460.849"	"0.003"	"8"	"2.10e+08"		"166457.3"	"188150.3"	"3p5.4s"	"1P*"	"1"	"3p5.4p"	"1D"	"2"		"T8304"	"L3490"	
"465.938"	"0.003"	"465.942"	"0.003"	"5"	"1.49e+07"		"164927.9"	"186383.8"	"3p5.3d"	"3P*"	"2"	"3p5.4p"	"3D"	"3"		"T8304"	"L3490"	
"474.492"	"0.003"	"474.482"	"0.003"	"4"	"4.28e+05"		"166457.3"	"187527.0"	"3p5.4s"	"1P*"	"1"	"3p5.4p"	"3D"	"1"		"T8304"	"L3490"	
"482.923"	"0.003"	"482.924"	"0.003"	"9"	"2.52e+08"		"162502.7"	"183204.1"	"3p5.4s"	"3P*"	"2"	"3p5.4p"	"3S"	"1"		"T8304"	"L3490"	
"493.875"	"0.003"	"493.875"	"0.003"	"3"	"4.29e+07"		"194772.2"	"215014.6"	"3p5.4p"	"1S"	"0"	"3p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"		"T8304"	"L3490"	
"494.324"	"0.003"	"494.322"	"0.003"	"6"	"1.25e+07"		"166457.3"	"186681.4"	"3p5.4s"	"1P*"	"1"	"3p5.4p"	"3D"	"2"		"T8304"	"L3490"	
"500.560"	"0.003"	"500.564"	"0.004"	"8"	"1.11e+08"		"163232.2"	"183204.1"	"3p5.4s"	"3P*"	"1"	"3p5.4p"	"3S"	"1"		"T8304"	"L3490"	
"505.627"	"0.003"	"505.625"	"0.004"	"7"	"3.28e+07"		"163432.1"	"183204.1"	"3p5.3d"	"3P*"	"0"	"3p5.4p"	"3S"	"1"		"T8304"	"L3490"	
"531.024"	"0.003"	"531.024"	"0.004"	"5"	"1.50e+07"		"170831.1"	"189657.4"	"3p5.3d"	"3F*"	"3"	"3p5.4p"	"3P"	"2"		"T8304"	"L3490"	
"547.013"	"0.003"	"547.008"	"0.004"	"6"	"2.07e+07"		"164927.9"	"183204.1"	"3p5.3d"	"3P*"	"2"	"3p5.4p"	"3S"	"1"		"T8304"	"L3490"	
"548.806"	"0.003"	"548.803"	"0.004"	"2"	"2.63e+07"		"194772.2"	"212988.6"	"3p5.4p"	"1S"	"0"	"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"		"T8304"	"L3490"	
"551.269"	"0.003"	"551.273"	"0.004"	"2"	"2.06e+06"		"171522.6"	"189657.4"	"3p5.3d"	"3F*"	"2"	"3p5.4p"	"3P"	"2"		"T8304"	"L3490"	
"553.601"	"0.003"	"553.596"	"0.007"	"3"	"2.11e+06"		"165145.4"	"183204.1"	"3p5.4s"	"3P*"	"0"	"3p5.4p"	"3S"	"1"		"T8304"	"L3490"	
"564.273"	"0.003"	"564.276"	"0.005"	"5"	"1.38e+07"		"171522.6"	"189239.5"	"3p5.3d"	"3F*"	"2"	"3p5.4p"	"1P"	"1"		"T8304"	"L12188"	
"577.232"	"0.003"	"577.234"	"0.005"	"4"	"8.32e+06"		"170831.1"	"188150.3"	"3p5.3d"	"3F*"	"3"	"3p5.4p"	"1D"	"2"		"T8304"	"L3490"	
"596.964"	"0.003"	"596.964"	"0.005"	"2"	"1.35e+06"		"166457.3"	"183204.1"	"3p5.4s"	"1P*"	"1"	"3p5.4p"	"3S"	"1"		"T8304"	"L3490"	
"601.241"	"0.003"	"601.240"	"0.005"	"1"	"1.19e+06"		"171522.6"	"188150.3"	"3p5.3d"	"3F*"	"2"	"3p5.4p"	"1D"	"2"		"T8304"	"L3490"	
"612.027"	"0.003"	"612.028"	"0.005"	"8"	"1.68e+08"		"170049.2"	"186383.8"	"3p5.3d"	"3F*"	"4"	"3p5.4p"	"3D"	"3"		"T8304"	"L3490"	
"624.659"	"0.003"	"624.655"	"0.006"	"6"	"6.13e+07"		"171522.6"	"187527.0"	"3p5.3d"	"3F*"	"2"	"3p5.4p"	"3D"	"1"		"T8304"	"L3490"	
"630.729"	"0.003"	"630.728"	"0.006"	"7"	"8.91e+07"		"170831.1"	"186681.4"	"3p5.3d"	"3F*"	"3"	"3p5.4p"	"3D"	"2"		"T8304"	"L3490"	
"642.796"	"0.003"	"642.798"	"0.006"	"5"	"1.56e+07"		"170831.1"	"186383.8"	"3p5.3d"	"3F*"	"3"	"3p5.4p"	"3D"	"3"		"T8304"	"L3490"	
"659.500"	"0.003"	"659.501"	"0.006"	"2"	"1.18e+07"		"171522.6"	"186681.4"	"3p5.3d"	"3F*"	"2"	"3p5.4p"	"3D"	"2"		"T8304"	"L3490"	
