obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"532.570"	"532.569+"	"1-"	""		"92307.3786"	"111079.06"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4s2.4p5.(2P*<3/2>).9d"	"2[5/2]*"	"3"		""	"L7408"	
"532.787"	"532.785+"	"2"	""		"92307.3786"	"111071.45"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4s2.4p5.(2P*<3/2>).9d"	"2[5/2]*"	"2"		""	"L7408"	
"533.108"	"533.10632+"	"2*"	""		"92294.4012"	"111047.1693"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	"4s2.4p5.(2P*<3/2>).9d"	"2[7/2]*"	"3"		""	"L7408"	
"533.108"	"533.109+"	"2*"	""		"92294.4012"	"111047.07"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	"4s2.4p5.(2P*<3/2>).9d"	"2[3/2]*"	"2"		""	"L7408"	
"533.47550"	"533.47550+"	"10"	""		"92307.3786"	"111047.1693"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4s2.4p5.(2P*<3/2>).9d"	"2[7/2]*"	"3"		""	"L11281"	
"533.772"	"533.7702+"	"1"	""		"80916.7680"	"99646.212"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<3/2>).4d"	"2[3/2]*"	"1"	E2	""	"L7408"	
"533.91183"	"533.91183+"	"20"	""		"92294.4012"	"111018.8772"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	"4s2.4p5.(2P*<3/2>).9d"	"2[7/2]*"	"4"		""	"L11281"	
"534.737"	"534.7363+"	"2"	""		"92307.3786"	"111002.984"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4s2.4p5.(2P*<3/2>).9d"	"2[1/2]*"	"1"		""	"L7408"	
"536.591"	"536.590+"	"1h"	""		"93123.3409"	"111754.35"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"4s2.4p5.(2P*<3/2>).11d"	"2[5/2]*"	"3"		""	"L7408"	
"537.174"	"537.17307+"	"2"	""		"91168.5150"	"109779.3140"	"4s2.4p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	"4s2.4p5.(2P*<3/2>).9s"	"2[3/2]*"	"1"		""	"L7408"	
"537.257"	"537.260+"	"0"	""		"93123.3409"	"111731.14"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"4s2.4p5.(2P*<3/2>).11d"	"2[3/2]*"	"2"		""	"L3990"	
"537.96366"	"537.96366+"	"15"	""		"91168.5150"	"109751.9639"	"4s2.4p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	"4s2.4p5.(2P*<3/2>).9s"	"2[3/2]*"	"2"		""	"L11281"	
"540.303"	"540.304+"	"2h"	""		"92964.3943"	"111467.35"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	"4s2.4p5.(2P*<3/2>).10d"	"2[5/2]*"	"2"		""	"L7408"	
"540.944"	"540.946+"	"1h"	""		"92964.3943"	"111445.39"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	"4s2.4p5.(2P*<3/2>).10d"	"2[3/2]*"	"2"		""	"L7408"	
"541.442"	"541.439+"	"1"	""		"92964.3943"	"111428.57"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	"4s2.4p5.(2P*<3/2>).10d"	"2[1/2]*"	"1"		""	"L3990"	
"543.177"	"543.195+"	"1"	""		"93123.3409"	"111527.83"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"4s2.4p5.(2P*<3/2>).12s"	"2[3/2]*"	"2"		""	"L4004"	
"544.543"	"544.54028+"	"1-"	""		"91168.5150"	"109527.5268"	"4s2.4p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	"4s2.4p5.(2P*<3/2>).7d"	"2[5/2]*"	"2"		""	"L7408"	
"544.786"	"544.786+"	"3h"	""		"93123.3409"	"111474.08"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"4s2.4p5.(2P*<3/2>).10d"	"2[5/2]*"	"3"		""	"L7408"	
"545.639"	"545.639+"	"2h"	""		"93123.3409"	"111445.39"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"4s2.4p5.(2P*<3/2>).10d"	"2[3/2]*"	"2"		""	"L7408"	
"545.880"	"545.8799+"	"7"	""		"92294.4012"	"110608.359"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	"4s2.4p5.(2P*<3/2>).10s"	"2[3/2]*"	"2"		""	"L7408"	
"545.947"	"545.9473+"	"4"	""		"92307.3786"	"110619.075"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4s2.4p5.(2P*<3/2>).10s"	"2[3/2]*"	"1"		""	"L7408"	
"546.137"	"546.140+"	"1"	""		"93123.3409"	"111428.57"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"4s2.4p5.(2P*<3/2>).10d"	"2[1/2]*"	"1"		""	"L7408"	
"546.265"	"546.2670+"	"2"	""		"92307.3786"	"110608.359"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4s2.4p5.(2P*<3/2>).10s"	"2[3/2]*"	"2"		""	"L7408"	
"547.658"	"547.6572+"	"2"	""		"79971.7417"	"98226.268"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<3/2>).4d"	"2[7/2]*"	"3"	E2	""	"L7408"	
"548.746"	"548.7424+"	"1"	""		"92294.4012"	"110512.827"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	"4s2.4p5.(2P*<3/2>).8d"	"2[3/2]*"	"2"		""	"L7408"	
"548.886"	"548.8837+"	"5"	""		"92294.4012"	"110508.136"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	"4s2.4p5.(2P*<3/2>).8d"	"2[5/2]*"	"3"		""	"L7408"	
