obs_wl_air(nm)	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"497.175"	"497.1743"	"0.0010"	"8"	"6.919e+06"	AA	"14904.00"	"35012.06"	"1s2.2p"	"2P*"	"3/2"	"1s2.4s"	"2S"	"1/2"		"T7401LS"	"L7397"	
"527.1"	"527"	"4"	"*"	""		"506300"	"525280"	"1s.2s.3d"	"4D"	"1/2"	"1s.2p.3d"	"4D*"	"1/2"		""	"L1235,L3354"	
"527.1"	"527"	"4"	"*"	""		"506300"	"525280"	"1s.2s.3d"	"4D"	"7/2"	"1s.2p.3d"	"4D*"	"7/2"		""	"L1235,L3354"	
"527.1"	"527"	"4"	"*"	""		"506300"	"525280"	"1s.2s.3d"	"4D"	"5/2"	"1s.2p.3d"	"4D*"	"5/2"		""	"L1235,L3354"	
"527.1"	"527"	"4"	"*"	""		"506300"	"525280"	"1s.2s.3d"	"4D"	"3/2"	"1s.2p.3d"	"4D*"	"3/2"		""	"L1235,L3354"	
"527.1"	"527"	"4"	"*"	""		"506300"	"525280"	"1s.2s.3d"	"4D"	"7/2"	"1s.2p.3d"	"4D*"	"5/2"		""	"L1235,L3354"	
"527.1"	"527"	"4"	"*"	""		"506300"	"525280"	"1s.2s.3d"	"4D"	"5/2"	"1s.2p.3d"	"4D*"	"3/2"		""	"L1235,L3354"	
"527.1"	"527"	"4"	"*"	""		"506300"	"525280"	"1s.2s.3d"	"4D"	"3/2"	"1s.2p.3d"	"4D*"	"1/2"		""	"L1235,L3354"	
"527.1"	"527"	"4"	"*"	""		"506300"	"525280"	"1s.2s.3d"	"4D"	"5/2"	"1s.2p.3d"	"4D*"	"7/2"		""	"L1235,L3354"	
"527.1"	"527"	"4"	"*"	""		"506300"	"525280"	"1s.2s.3d"	"4D"	"3/2"	"1s.2p.3d"	"4D*"	"5/2"		""	"L1235,L3354"	
"527.1"	"527"	"4"	"*"	""		"506300"	"525280"	"1s.2s.3d"	"4D"	"1/2"	"1s.2p.3d"	"4D*"	"3/2"		""	"L1235,L3354"	
"531.5"	""	""	""	""		""	""	""	""	""	""	""	""		""	"L1614"	
"539.5"	""	""	""	""		""	""	""	""	""	""	""	""		""	"L1614"	
"544"	""	""	""	""		""	""	""	""	""	""	""	""		""	"L1614"	
"610.354"	"610.353"	"0.010"	"320"	"5.7138e+07"	AAA	"14903.66"	"31283.08"	"1s2.2p"	"2P*"	"1/2"	"1s2.3d"	"2D"	"3/2"		"T6505LS"	"L7397"	
""	"610.364"	"0.010"	""	"6.8562e+07"	AAA	"14904.00"	"31283.12"	"1s2.2p"	"2P*"	"3/2"	"1s2.3d"	"2D"	"5/2"		"T6505LS"	""	
"610.365"	"610.366"	"0.010"	"320"	"1.1427e+07"	AAA	"14904.00"	"31283.08"	"1s2.2p"	"2P*"	"3/2"	"1s2.3d"	"2D"	"3/2"		"T6505LS"	"L7397"	
"670.776"	"670.776"	"0.010"	"3600"	"3.6891e+07"	AAA	"0.00"	"14904.00"	"1s2.2s"	"2S"	"1/2"	"1s2.2p"	"2P*"	"3/2"		"T6505LS"	"L7397"	
"670.791"	"670.791"	"0.010"	"3600"	"3.6890e+07"	AAA	"0.00"	"14903.66"	"1s2.2s"	"2S"	"1/2"	"1s2.2p"	"2P*"	"1/2"		"T6505LS"	"L7397"	
""	"687.308"	"0.010"	""	"2.79e+04"	B	"27206.12"	"41751.63"	"1s2.3s"	"2S"	"1/2"	"1s2.8p"	"2P*"	"3/2"		"T5118LS"	""	
""	"687.308"	"0.010"	""	"2.78e+04"	B	"27206.12"	"41751.63"	"1s2.3s"	"2S"	"1/2"	"1s2.8p"	"2P*"	"1/2"		"T5118LS"	""	
""	"713.517"	"0.010"	""	"3.61e+04"	B	"27206.12"	"41217.35"	"1s2.3s"	"2S"	"1/2"	"1s2.7p"	"2P*"	"3/2"		"T5118LS"	""	
""	"713.517"	"0.010"	""	"3.59e+04"	B	"27206.12"	"41217.35"	"1s2.3s"	"2S"	"1/2"	"1s2.7p"	"2P*"	"1/2"		"T5118LS"	""	
""	"758.245"	"0.010"	""	"4.38e+04"	B	"27206.12"	"40390.84"	"1s2.3s"	"2S"	"1/2"	"1s2.6p"	"2P*"	"3/2"		"T5118LS"	""	
""	"758.245"	"0.010"	""	"4.37e+04"	B	"27206.12"	"40390.84"	"1s2.3s"	"2S"	"1/2"	"1s2.6p"	"2P*"	"1/2"		"T5118LS"	""	
