obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"562.294"	"0.010"	"562.290"	"0.003"	""	""		"53286.31"	"71065.8"	"4p6.5d"	"2D"	"3/2"	"4p6.5f"	"2F*"	"5/2"		""	"L3450"	
"565.054"	"0.010"	"565.044"	"0.003"	"*"	""		"53372.97"	"71065.8"	"4p6.5d"	"2D"	"5/2"	"4p6.5f"	"2F*"	"7/2"		""	"L3450"	
"565.054"	"0.010"	"565.044"	"0.003"	"*"	""		"53372.97"	"71065.8"	"4p6.5d"	"2D"	"5/2"	"4p6.5f"	"2F*"	"5/2"		""	"L3450"	
"572.370"	"0.010"	"572.336"	"0.010"	""	"7.1e+06"	D	"55769.7"	"73237.1"	"4p6.6p"	"2P*"	"1/2"	"4p6.8s"	"2S"	"1/2"		"T4515"	"L3450"	
"581.900"	"0.010"	"581.938"	"0.011"	""	"1.4e+07"	D	"56057.9"	"73237.1"	"4p6.6p"	"2P*"	"3/2"	"4p6.8s"	"2S"	"1/2"		"T4515"	"L3450"	
"634.900"	"0.010"	"634.839"	"0.006"	"*"	""		"60990.04"	"76737.7"	"4p6.4f"	"2F*"	"7/2"	"4p6.6g"	"2G"	"9/2"		""	"L3450"	
"634.900"	"0.010"	"634.839"	"0.006"	"*"	""		"60990.04"	"76737.7"	"4p6.4f"	"2F*"	"7/2"	"4p6.6g"	"2G"	"7/2"		""	"L3450"	
"634.900"	"0.010"	"634.892"	"0.006"	"*"	""		"60991.34"	"76737.7"	"4p6.4f"	"2F*"	"5/2"	"4p6.6g"	"2G"	"7/2"		""	"L3450"	
""	""	"647.315"	"0.008"	""	""		"53372.97"	"68817.12"	"4p6.5d"	"2D"	"5/2"	"4p6.7p"	"2P*"	"3/2"		""	""	
""	""	"649.465"	"0.008"	""	""		"53286.31"	"68679.34"	"4p6.5d"	"2D"	"3/2"	"4p6.7p"	"2P*"	"1/2"		""	""	
""	""	"673.8392"	"0.0005"	""	"2.559e+00"	AA	"0.00"	"14836.24"	"4p6.5s"	"2S"	"1/2"	"4p6.4d"	"2D"	"5/2"	E2	"T3619"	""	
""	""	"686.8171"	"0.0005"	""	"2.299e+00"	AA	"0.00"	"14555.90"	"4p6.5s"	"2S"	"1/2"	"4p6.4d"	"2D"	"3/2"	M1+E2	"T7311"	""	
