obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"410.2903"	""	"2.68e+05"	C	"187461.56"	"211827.67"	"2s2.2p.3d"	"3D*"	"2"	"2s.2p2.(4P).3s"	"3P"	"2"		"T6385"	""	
""	"410.6985"	""	"4.57e+05"	C	"187437.56"	"211779.45"	"2s2.2p.3d"	"3D*"	"1"	"2s.2p2.(4P).3s"	"3P"	"1"		"T6385"	""	
""	"410.8018"	""	"1.52e+06"	C	"187491.90"	"211827.67"	"2s2.2p.3d"	"3D*"	"3"	"2s.2p2.(4P).3s"	"3P"	"2"		"T6385"	""	
""	"410.959"	""	"1.24e+02"	D	"164610.76"	"188937.24"	"2s2.2p.3p"	"1P"	"1"	"2s2.2p.3d"	"3P*"	"0"		"T7333"	""	
""	"411.1039"	""	"1.37e+06"	C	"187461.56"	"211779.45"	"2s2.2p.3d"	"3D*"	"2"	"2s.2p2.(4P).3s"	"3P"	"1"		"T6385"	""	
""	"411.2070"	""	"1.85e+06"	C	"187437.56"	"211749.35"	"2s2.2p.3d"	"3D*"	"1"	"2s.2p2.(4P).3s"	"3P"	"0"		"T6385"	""	
""	"411.4335"	""	"1.65e+05"	B+	"164610.76"	"188909.17"	"2s2.2p.3p"	"1P"	"1"	"2s2.2p.3d"	"3P*"	"1"		"T7333"	""	
""	"412.3125"	""	"4.37e+04"	B+	"164610.76"	"188857.37"	"2s2.2p.3p"	"1P"	"1"	"2s2.2p.3d"	"3P*"	"2"		"T7333"	""	
""	"412.4081"	""	"3.20e+07"	C+	"205597.97"	"229838.96"	"2s.2p2.(4P).3s"	"5P"	"1"	"2s.2p2.(4P).3p"	"5S*"	"2"		"T5520LS"	""	
""	"413.3673"	""	"5.30e+07"	C+	"205654.22"	"229838.96"	"2s.2p2.(4P).3s"	"5P"	"2"	"2s.2p2.(4P).3p"	"5S*"	"2"		"T5520LS"	""	
""	"414.5774"	""	"7.36e+07"	C+	"205724.81"	"229838.96"	"2s.2p2.(4P).3s"	"5P"	"3"	"2s.2p2.(4P).3p"	"5S*"	"2"		"T5520LS"	""	
"417.616"	""	"285"	""		""	""	""	""	""	""	""	""		""	"L3513"	
"422.774"	"422.7736"	"285"	"1.08e+08"	B	"174212.03"	"197858.69"	"2s2.2p.3p"	"1D"	"2"	"2s2.2p.4s"	"1P*"	"1"		"T5520,T6385"	"L3513"	
""	"423.6356"	""	"1.93e+05"	B	"166521.69"	"190120.24"	"2s2.2p.3p"	"3D"	"1"	"2s2.2p.3d"	"1P*"	"1"		"T7333"	""	
"423.691"	""	"285"	""		""	""	""	""	""	""	""	""		""	"L3513"	
"423.705"	""	"220"	""		""	""	""	""	""	""	""	""		""	"L3513"	
"424.178"	""	"450"	""		""	""	""	""	""	""	""	""		""	"L3513"	
""	"431.906"	""	"5.59e+03"	B	"155126.73"	"178273.38"	"2s.2p3"	"3S*"	"1"	"2s2.2p.3p"	"1S"	"0"		"T7333"	""	
""	"435.2224"	""	"2.59e+04"	D	"188857.37"	"211827.67"	"2s2.2p.3d"	"3P*"	"2"	"2s.2p2.(4P).3s"	"3P"	"2"		"T6385"	""	
""	"437.4985"	""	"6.31e+05"	B+	"164610.76"	"187461.56"	"2s2.2p.3p"	"1P"	"1"	"2s2.2p.3d"	"3D*"	"2"		"T7333"	""	
""	"437.6630"	""	"9.27e+03"	D	"188937.24"	"211779.45"	"2s2.2p.3d"	"3P*"	"0"	"2s.2p2.(4P).3s"	"3P"	"1"		"T6385"	""	
""	"437.9585"	""	"1.76e+05"	B+	"164610.76"	"187437.56"	"2s2.2p.3p"	"1P"	"1"	"2s2.2p.3d"	"3D*"	"1"		"T7333"	""	
""	"439.3847"	""	"5.21e+04"	B	"166582.45"	"189335.16"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.3d"	"1F*"	"3"		"T7333"	""	
""	"441.250"	""	"2.93e+03"	B	"166678.64"	"189335.16"	"2s2.2p.3p"	"3D"	"3"	"2s2.2p.3d"	"1F*"	"3"		"T7333"	""	
""	"442.790"	""	"4.09e+00"	C	"144187.94"	"166765.66"	"2s.2p3"	"1D*"	"2"	"2s.2p3"	"1P*"	"1"	E2	"T7333"	""	
"443.274"	""	"285"	""		""	""	""	""	""	""	""	""		""	"L3513"	
""	"444.503"	""	"1.20e+02"	B	"144187.94"	"166678.64"	"2s.2p3"	"1D*"	"2"	"2s2.2p.3p"	"3D"	"3"		"T7333"	""	
"444.703"	"444.7030"	"650"	"1.12e+08"	B+	"164610.76"	"187091.37"	"2s2.2p.3p"	"1P"	"1"	"2s2.2p.3d"	"1D*"	"2"		"T7333"	"L3513"	
""	"445.9937"	""	"7.99e+06"	D	"166521.69"	"188937.24"	"2s2.2p.3p"	"3D"	"1"	"2s2.2p.3d"	"3P*"	"0"		"T7333"	""	
""	"446.413"	""	"5.85e+00"	E	"144187.94"	"166582.45"	"2s.2p3"	"1D*"	"2"	"2s2.2p.3p"	"3D"	"2"		"T7333"	""	
""	"446.5529"	""	"1.59e+06"	D	"166521.69"	"188909.17"	"2s2.2p.3p"	"3D"	"1"	"2s2.2p.3d"	"3P*"	"1"		"T7333"	""	
""	"446.7014"	""	"2.25e+05"	D	"174212.03"	"196592.07"	"2s2.2p.3p"	"1D"	"2"	"2s2.2p.4s"	"3P*"	"1"		"T6385"	""	
""	"447.5886"	""	"3.96e+04"	D	"166521.69"	"188857.37"	"2s2.2p.3p"	"3D"	"1"	"2s2.2p.3d"	"3P*"	"2"		"T7333"	""	
""	"447.627"	""	"3.40e+03"	D	"144187.94"	"166521.69"	"2s.2p3"	"1D*"	"2"	"2s2.2p.3p"	"3D"	"1"		"T7333"	""	
""	"447.7682"	""	"6.44e+06"	D	"166582.45"	"188909.17"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.3d"	"3P*"	"1"		"T7333"	""	
""	"448.8095"	""	"8.62e+05"	D	"166582.45"	"188857.37"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.3d"	"3P*"	"2"		"T7333"	""	
""	"450.7560"	""	"7.39e+06"	D	"166678.64"	"188857.37"	"2s2.2p.3p"	"3D"	"3"	"2s2.2p.3d"	"3P*"	"2"		"T7333"	""	
"453.041"	""	"360"	""		""	""	""	""	""	""	""	""		""	"L3513"	
""	"456.4760"	""	"1.65e+06"	B+	"164610.76"	"186511.58"	"2s2.2p.3p"	"1P"	"1"	"2s2.2p.3d"	"3F*"	"2"		"T7333"	""	
"460.148"	"460.1478"	"550"	"2.22e+07"	B+	"148940.17"	"170666.23"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.3p"	"3P"	"2"		"T7333"	"L3513"	
"460.716"	"460.7153"	"450"	"3.15e+07"	B+	"148908.59"	"170607.89"	"2s2.2p.3s"	"3P*"	"0"	"2s2.2p.3p"	"3P"	"1"		"T7333"	"L3513"	
"461.387"	"461.3868"	"360"	"2.12e+07"	B+	"148940.17"	"170607.89"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.3p"	"3P"	"1"		"T7333"	"L3513"	
"462.139"	"462.1393"	"450"	"9.04e+07"	B+	"148940.17"	"170572.61"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.3p"	"3P"	"0"		"T7333"	"L3513"	
"463.054"	"463.0539"	"870"	"7.48e+07"	B+	"149076.52"	"170666.23"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.3p"	"3P"	"2"		"T7333"	"L3513"	
"464.308"	"464.3086"	"550"	"4.39e+07"	B+	"149076.52"	"170607.89"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.3p"	"3P"	"1"		"T7333"	"L3513"	
""	"465.4531"	""	"1.92e+06"	B	"149187.80"	"170666.23"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.3p"	"3P"	"2"		"T7333"	""	
""	"466.7208"	""	"2.31e+06"	B	"149187.80"	"170607.89"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.3p"	"3P"	"1"		"T7333"	""	
""	"467.4908"	""	"8.54e+06"	B	"149187.80"	"170572.61"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.3p"	"3P"	"0"		"T7333"	""	
""	"469.4274"	""	"1.23e+07"	C+	"223643.30"	"244939.89"	"2s.2p2.(4P).3p"	"5D*"	"0"	"2s.2p2.(4P).3d"	"5D"	"1"		"T5520LS"	""	
""	"469.5899"	""	"1.29e+07"	C+	"223658.55"	"244947.77"	"2s.2p2.(4P).3p"	"5D*"	"1"	"2s.2p2.(4P).3d"	"5D"	"2"		"T5520LS"	""	
""	"469.7638"	""	"3.06e+06"	C+	"223658.55"	"244939.89"	"2s.2p2.(4P).3p"	"5D*"	"1"	"2s.2p2.(4P).3d"	"5D"	"1"		"T5520LS"	""	
""	"469.8554"	""	"3.67e+07"	C+	"223658.55"	"244935.74"	"2s.2p2.(4P).3p"	"5D*"	"1"	"2s.2p2.(4P).3d"	"5D"	"0"		"T5520LS"	""	
""	"470.0032"	""	"1.05e+07"	C+	"223688.45"	"244958.95"	"2s.2p2.(4P).3p"	"5D*"	"2"	"2s.2p2.(4P).3d"	"5D"	"3"		"T5520LS"	""	
