obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"415.444"	"0.002"	"415.44429"	"0.00003"	""	""		"16956.17025"	"[41020.001]"	"2p6.3p"	"2P*"	"1/2"	"2p6.16d"	"2D"	"3/2"		""	"L9493"	
"415.70"	"0.04"	"415.74"	"0.03"	""	""		"269086.5"	"293133.1"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"1/2"	"2p5.3s.(3P*).3d"	"4D*"	"1/2"		""	"L10065"	
"415.740"	"0.002"	"415.74139"	"0.00003"	""	"1.71e+04"	B	"16973.36619"	"[41020.001]"	"2p6.3p"	"2P*"	"3/2"	"2p6.16d"	"2D"	"3/2"		"T7799"	"L9493"	
"415.740"	"0.002"	"415.74140"	"0.00003"	""	"1.03e+05"	B	"16973.36619"	"[41020.000]"	"2p6.3p"	"2P*"	"3/2"	"2p6.16d"	"2D"	"5/2"		"T7799"	"L9493"	
"415.760"	"0.002"	"415.76369"	"0.00003"	""	""		"16956.17025"	"[41001.515]"	"2p6.3p"	"2P*"	"1/2"	"2p6.17s"	"2S"	"1/2"		""	"L9493"	
"416.057"	"0.002"	"416.06124"	"0.00003"	""	"5.76e+04"	B	"16973.36619"	"[41001.515]"	"2p6.3p"	"2P*"	"3/2"	"2p6.17s"	"2S"	"1/2"		"T7799"	"L9493"	
"416.470"	"0.002"	"416.46940"	"0.00003"	""	""		"16956.17025"	"[40960.771]"	"2p6.3p"	"2P*"	"1/2"	"2p6.15d"	"2D"	"3/2"		""	"L9493"	
"416.767"	"0.002"	"416.76796"	"0.00003"	""	"2.09e+04"	B	"16973.36619"	"[40960.771]"	"2p6.3p"	"2P*"	"3/2"	"2p6.15d"	"2D"	"3/2"		"T7799"	"L9493"	
"416.767"	"0.002"	"416.76796"	"0.00003"	""	"1.25e+05"	B	"16973.36619"	"[40960.771]"	"2p6.3p"	"2P*"	"3/2"	"2p6.15d"	"2D"	"5/2"		"T7799"	"L9493"	
"416.858"	"0.002"	"416.85997"	"0.00003"	""	""		"16956.17025"	"[40938.281]"	"2p6.3p"	"2P*"	"1/2"	"2p6.16s"	"2S"	"1/2"		""	"L9493"	
"417.156"	"0.002"	"417.15909"	"0.00003"	""	"7.03e+04"	B	"16973.36619"	"[40938.281]"	"2p6.3p"	"2P*"	"3/2"	"2p6.16s"	"2S"	"1/2"		"T7799"	"L9493"	
"417.67"	"0.02"	"417.667"	"0.014"	"82"	"3.5e+07"	D	"268513.9"	"292449.7"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"5/2"	"2p5.3s.(3P*).3d"	"4F*"	"7/2"		"T5209"	"L6269"	
"417.723"	"0.002"	"417.72905"	"0.00003"	""	""		"16956.17025"	"[40888.387]"	"2p6.3p"	"2P*"	"1/2"	"2p6.14d"	"2D"	"3/2"		""	"L9493"	
"418.022"	"0.002"	"418.02943"	"0.00003"	""	"2.58e+04"	B	"16973.36619"	"[40888.387]"	"2p6.3p"	"2P*"	"3/2"	"2p6.14d"	"2D"	"3/2"		"T7799"	"L9493"	
"418.022"	"0.002"	"418.02944"	"0.00003"	""	"1.55e+05"	B	"16973.36619"	"[40888.386]"	"2p6.3p"	"2P*"	"3/2"	"2p6.14d"	"2D"	"5/2"		"T7799"	"L9493"	
"418.209"	"0.002"	"418.21380"	"0.00004"	""	""		"16956.17025"	"[40860.648]"	"2p6.3p"	"2P*"	"1/2"	"2p6.15s"	"2S"	"1/2"		""	"L9493"	
"418.509"	"0.002"	"418.51487"	"0.00004"	""	"8.70e+04"	B	"16973.36619"	"[40860.648]"	"2p6.3p"	"2P*"	"3/2"	"2p6.15s"	"2S"	"1/2"		"T7799"	"L9493"	
"418.55"	"0.02"	"418.546"	"0.011"	"150"	"4.9e+07"	D	"268513.9"	"292399.4"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"5/2"	"2p5.3s.(3P*).3d"	"4D*"	"5/2"		"T5209"	"L6269"	
"419.297"	"0.002"	"419.30142"	"0.00004"	""	""		"16956.17025"	"[40798.644]"	"2p6.3p"	"2P*"	"1/2"	"2p6.13d"	"2D"	"3/2"		""	"L9493"	
"419.598"	"0.002"	"419.60405"	"0.00004"	""	"3.27e+04"	B	"16973.36619"	"[40798.644]"	"2p6.3p"	"2P*"	"3/2"	"2p6.13d"	"2D"	"3/2"		"T7799"	"L9493"	
"419.598"	"0.002"	"419.60409"	"0.00004"	""	"1.96e+05"	B	"16973.36619"	"[40798.642]"	"2p6.3p"	"2P*"	"3/2"	"2p6.13d"	"2D"	"5/2"		"T7799"	"L9493"	
"419.914"	"0.002"	"419.91362"	"0.00004"	""	""		"16956.17025"	"[40763.884]"	"2p6.3p"	"2P*"	"1/2"	"2p6.14s"	"2S"	"1/2"		""	"L9493"	
"420.216"	"0.002"	"420.21714"	"0.00004"	""	"1.09e+05"	B	"16973.36619"	"[40763.884]"	"2p6.3p"	"2P*"	"3/2"	"2p6.14s"	"2S"	"1/2"		"T7799"	"L9493"	
"420.49"	"0.02"	"420.486"	"0.012"	"46"	"2.5e+07"	D	"268513.9"	"292289.2"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"5/2"	"2p5.3s.(3P*).3d"	"4P*"	"3/2"		"T5209"	"L6269"	
"421.309"	"0.002"	"421.30057"	"0.00004"	""	""		"16956.17025"	"[40685.509]"	"2p6.3p"	"2P*"	"1/2"	"2p6.12d"	"2D"	"3/2"		""	"L9493"	
"421.613"	"0.002"	"421.60610"	"0.00004"	""	"4.20e+04"	B	"16973.36619"	"[40685.509]"	"2p6.3p"	"2P*"	"3/2"	"2p6.12d"	"2D"	"3/2"		"T7799"	"L9493"	
"421.613"	"0.002"	"421.60610"	"0.00004"	""	"2.52e+05"	B	"16973.36619"	"[40685.509]"	"2p6.3p"	"2P*"	"3/2"	"2p6.12d"	"2D"	"5/2"		"T7799"	"L9493"	
"422.076"	"0.002"	"422.08966"	"0.00004"	""	""		"16956.17025"	"[40641.148]"	"2p6.3p"	"2P*"	"1/2"	"2p6.13s"	"2S"	"1/2"		""	"L9493"	
"422.381"	"0.002"	"422.39634"	"0.00004"	""	"1.40e+05"	B	"16973.36619"	"[40641.148]"	"2p6.3p"	"2P*"	"3/2"	"2p6.13s"	"2S"	"1/2"		"T7799"	"L9493"	
"423.8987"	"0.0008"	"423.89828"	"0.00004"	"2"	""		"16956.17025"	"[40540.095]"	"2p6.3p"	"2P*"	"1/2"	"2p6.11d"	"2D"	"3/2"		""	"L6096"	
"424.2082"	"0.0008"	"424.20759"	"0.00004"	"3*"	"5.54e+04"	B	"16973.36619"	"[40540.095]"	"2p6.3p"	"2P*"	"3/2"	"2p6.11d"	"2D"	"3/2"		"T7799"	"L6096"	
"424.2082"	"0.0008"	"424.20763"	"0.00004"	"3*"	"3.32e+05"	B	"16973.36619"	"[40540.093]"	"2p6.3p"	"2P*"	"3/2"	"2p6.11d"	"2D"	"5/2"		"T7799"	"L6096"	
"424.9410"	"0.0008"	"424.94081"	"0.00004"	"1"	""		"16956.17025"	"40482.236"	"2p6.3p"	"2P*"	"1/2"	"2p6.12s"	"2S"	"1/2"		""	"L6096"	
"425.2520"	"0.0008"	"425.25165"	"0.00004"	"2"	"1.84e+05"	B	"16973.36619"	"40482.236"	"2p6.3p"	"2P*"	"3/2"	"2p6.12s"	"2S"	"1/2"		"T7799"	"L6096"	
"425.38"	"0.02"	"425.376"	"0.013"	"17"	"5.e+06"	D	"268897.4"	"292399.4"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"3/2"	"2p5.3s.(3P*).3d"	"4D*"	"5/2"		"T5209"	"L6269"	
"427.3642"	"0.0008"	"427.36265"	"0.00004"	"4"	"3.91e+05"	C	"16956.17025"	"40348.918"	"2p6.3p"	"2P*"	"1/2"	"2p6.10d"	"2D"	"3/2"		"c58,LS"	"L6096"	
"427.39"	"0.02"	"427.380"	"0.013"	"23"	"1.6e+07"	D	"268897.4"	"292289.2"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"3/2"	"2p5.3s.(3P*).3d"	"4P*"	"3/2"		"T5209"	"L6269"	
"427.6787"	"0.0008"	"427.67704"	"0.00004"	"5*"	"7.8e+04"	C	"16973.36619"	"40348.918"	"2p6.3p"	"2P*"	"3/2"	"2p6.10d"	"2D"	"3/2"		"c58,LS"	"L6096"	
"427.6787"	"0.0008"	"427.67709"	"0.00004"	"5*"	"4.69e+05"	C	"16973.36619"	"40348.915"	"2p6.3p"	"2P*"	"3/2"	"2p6.10d"	"2D"	"5/2"		"c58,LS"	"L6096"	
"428.67"	"0.02"	"428.655"	"0.013"	"46"	"2.8e+07"	D	"268897.4"	"292219.6"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"3/2"	"2p5.3s.(3P*).3d"	"4P*"	"1/2"		"T5209"	"L6269"	
"428.7838"	"0.0008"	"428.78363"	"0.00004"	"2"	""		"16956.17025"	"40271.396"	"2p6.3p"	"2P*"	"1/2"	"2p6.11s"	"2S"	"1/2"		""	"L6096"	
"429.1006"	"0.0008"	"429.10012"	"0.00004"	"3"	"2.47e+05"	B	"16973.36619"	"40271.396"	"2p6.3p"	"2P*"	"3/2"	"2p6.11s"	"2S"	"1/2"		"T7799"	"L6096"	
"432.1400"	"0.0008"	"432.1401"	"0.0004"	"6"	""		"16956.17025"	"40090.31"	"2p6.3p"	"2P*"	"1/2"	"2p6.9d"	"2D"	"3/2"		""	"L6096"	
"432.4615"	"0.0008"	"432.4615"	"0.0004"	"7*"	"6.84e+05"	B	"16973.36619"	"40090.31"	"2p6.3p"	"2P*"	"3/2"	"2p6.9d"	"2D"	"5/2"		"T7799"	"L6096"	
"432.4615"	"0.0008"	"432.4615"	"0.0004"	"7*"	"1.14e+05"	B	"16973.36619"	"40090.31"	"2p6.3p"	"2P*"	"3/2"	"2p6.9d"	"2D"	"3/2"		"T7799"	"L6096"	
"432.63"	"0.04"	"432.700"	"0.013"	""	""		"263745.3"	"286849.5"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).4s"	"4P*"	"3/2"		""	"L10065"	
"434.1489"	"0.0008"	"434.1489"	"0.0004"	"4"	"3.26e+05"	C+	"16956.17025"	"39983.27"	"2p6.3p"	"2P*"	"1/2"	"2p6.10s"	"2S"	"1/2"		"c30"	"L6096"	
"434.4736"	"0.0008"	"434.4733"	"0.0004"	"5"	"6.50e+05"	C+	"16973.36619"	"39983.27"	"2p6.3p"	"2P*"	"3/2"	"2p6.10s"	"2S"	"1/2"		"c30"	"L6096"	
"439.0029"	"0.0008"	"439.0022"	"0.0004"	"8"	"9.83e+05"	B+	"16956.17025"	"39728.70"	"2p6.3p"	"2P*"	"1/2"	"2p6.8d"	"2D"	"3/2"		"c30"	"L6096"	
"439.3340"	"0.0008"	"439.3340"	"0.0004"	"9*"	"1.95e+05"	B	"16973.36619"	"39728.70"	"2p6.3p"	"2P*"	"3/2"	"2p6.8d"	"2D"	"3/2"		"c30"	"L6096"	
"439.3340"	"0.0008"	"439.3340"	"0.0004"	"9*"	"1.17e+06"	B+	"16973.36619"	"39728.70"	"2p6.3p"	"2P*"	"3/2"	"2p6.8d"	"2D"	"5/2"		"c30"	"L6096"	
"441.9885"	"0.0008"	"441.9883"	"0.0004"	"6"	"2.82e+05"	C+	"16956.17025"	"39574.85"	"2p6.3p"	"2P*"	"1/2"	"2p6.9s"	"2S"	"1/2"		"c30"	"L6096"	
"442.3246"	"0.0008"	"442.3246"	"0.0004"	"7"	"5.61e+05"	C+	"16973.36619"	"39574.85"	"2p6.3p"	"2P*"	"3/2"	"2p6.9s"	"2S"	"1/2"		"c30"	"L6096"	
"443.23"	"0.02"	"443.234"	"0.014"	"310"	"1.4e+07"	D	"263745.3"	"286300.4"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).4s"	"4P*"	"5/2"		"T5209"	"L6269"	
"449.4177"	"0.0009"	"449.4180"	"0.0004"	"10"	"1.23e+06"	B+	"16956.17025"	"39200.93"	"2p6.3p"	"2P*"	"1/2"	"2p6.7d"	"2D"	"3/2"		"c30"	"L6096"	
"449.7658"	"0.0009"	"449.7657"	"0.0004"	"11*"	"1.46e+06"	B+	"16973.36619"	"39200.93"	"2p6.3p"	"2P*"	"3/2"	"2p6.7d"	"2D"	"5/2"		"c30"	"L6096"	
"449.7658"	"0.0009"	"449.7657"	"0.0004"	"11*"	"2.44e+05"	B	"16973.36619"	"39200.93"	"2p6.3p"	"2P*"	"3/2"	"2p6.7d"	"2D"	"3/2"		"c30"	"L6096"	
"454.1633"	"0.0009"	"454.1633"	"0.0004"	"7"	"3.76e+05"	B	"16956.17025"	"38968.51"	"2p6.3p"	"2P*"	"1/2"	"2p6.8s"	"2S"	"1/2"		"c30"	"L6096"	
"454.5186"	"0.0009"	"454.5184"	"0.0004"	"8"	"7.50e+05"	B	"16973.36619"	"38968.51"	"2p6.3p"	"2P*"	"3/2"	"2p6.8s"	"2S"	"1/2"		"c30"	"L6096"	
"466.48107"	"0.00005"	"466.48107"	"0.00004"	"1"	"2.08e+06"	B+	"16956.17025"	"38387.268"	"2p6.3p"	"2P*"	"1/2"	"2p6.6d"	"2D"	"3/2"		"c30"	"L15039"	
"466.85595"	"0.00005"	"466.85567"	"0.00004"	"2*"	"4.14e+05"	B+	"16973.36619"	"38387.268"	"2p6.3p"	"2P*"	"3/2"	"2p6.6d"	"2D"	"3/2"		"c30"	"L15039"	
"466.85595"	"0.00005"	"466.85595"	"0.00004"	"2*"	"2.49e+06"	A	"16973.36619"	"38387.255"	"2p6.3p"	"2P*"	"3/2"	"2p6.6d"	"2D"	"5/2"		"c30"	"L15039"	
"474.79410"	"0.00005"	"474.79412"	"0.00005"	"1"	"6.19e+05"	B	"16956.17025"	"38012.042"	"2p6.3p"	"2P*"	"1/2"	"2p6.7s"	"2S"	"1/2"		"c30"	"L15039"	
"475.18218"	"0.00005"	"475.18219"	"0.00005"	"2"	"1.23e+06"	B	"16973.36619"	"38012.042"	"2p6.3p"	"2P*"	"3/2"	"2p6.7s"	"2S"	"1/2"		"c30"	"L15039"	
"497.53"	"0.03"	"497.559"	"0.020"	""	""		"267282.3"	"287374.8"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"3/2"	"2p5.3s.(3P*).4s"	"4P*"	"1/2"		""	"L10065"	
"497.85414"	"0.00005"	"497.85414"	"0.00005"	"1"	"4.09e+06"	A	"16956.17025"	"37036.772"	"2p6.3p"	"2P*"	"1/2"	"2p6.5d"	"2D"	"3/2"		"c30"	"L15039"	
""	""	"498.28084"	"0.00005"	""	"8.15e+05"	A	"16973.36619"	"37036.772"	"2p6.3p"	"2P*"	"3/2"	"2p6.5d"	"2D"	"3/2"		"c30"	""	
"498.28134"	"0.00005"	"498.28134"	"0.00005"	"2"	"4.88e+06"	A	"16973.36619"	"37036.752"	"2p6.3p"	"2P*"	"3/2"	"2p6.5d"	"2D"	"5/2"		"c30"	"L15039"	
"501.98"	"0.02"	"501.979"	"0.015"	""	""		"266933.9"	"286849.5"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"5/2"	"2p5.3s.(3P*).4s"	"4P*"	"3/2"		""	"L10065"	
"504.94"	"0.02"	"504.940"	"0.018"	""	""		"267576.0"	"287374.8"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"1/2"	"2p5.3s.(3P*).4s"	"4P*"	"1/2"		""	"L10065"	
"507.12"	"0.02"	"507.120"	"0.015"	"270"	"4.1e+07"	D	"266586.7"	"286300.4"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"7/2"	"2p5.3s.(3P*).4s"	"4P*"	"5/2"		"T5209"	"L6269"	
"510.96"	"0.02"	"510.917"	"0.013"	""	""		"267282.3"	"286849.5"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"3/2"	"2p5.3s.(3P*).4s"	"4P*"	"3/2"		""	"L10065"	
"514.88381"	"0.00005"	"514.88383"	"0.00005"	"1"	"1.14e+06"	B+	"16956.17025"	"36372.618"	"2p6.3p"	"2P*"	"1/2"	"2p6.6s"	"2S"	"1/2"		"c30"	"L15039"	
"515.34024"	"0.00005"	"515.34024"	"0.00005"	"2"	"2.27e+06"	B+	"16973.36619"	"36372.618"	"2p6.3p"	"2P*"	"3/2"	"2p6.6s"	"2S"	"1/2"		"c30"	"L15039"	
"516.25"	"0.02"	"516.212"	"0.013"	"83"	"1.5e+07"	D	"266933.9"	"286300.4"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"5/2"	"2p5.3s.(3P*).4s"	"4P*"	"5/2"		"T5209"	"L6269"	
"525.64"	"0.02"	"525.669"	"0.014"	"7"	"2.e+06"	D	"267282.3"	"286300.4"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"3/2"	"2p5.3s.(3P*).4s"	"4P*"	"5/2"		"T5209"	"L6269"	
"541.10"	"0.04"	"541.051"	"0.023"	""	""		"268897.4"	"287374.8"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"3/2"	"2p5.3s.(3P*).4s"	"4P*"	"1/2"		""	"L10065"	
