obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"365.1990"	"0.0010"	"365.1991721"	"0.0000021"	"1*"	"3.2481e+05"	AAA	"[169086.8428979]"	"[196461.3618105]"	"1s.2p"	"3P*"	"1"	"1s.8s"	"3S"	"1"		"T8636c73"	"L366"	
""	""	"365.2123526"	"0.0000021"	"0"	"1.0827e+05"	AAA	"[169087.8308131]"	"[196461.3618105]"	"1s.2p"	"3P*"	"0"	"1s.8s"	"3S"	"1"		"T8636c73"	"L366"	
"370.5005"	"0.0010"	"370.4995268"	"0.0000021"	"3*"	"1.0980e+05"	AAA	"[169086.7664725]"	"[196069.67648966]"	"1s.2p"	"3P*"	"2"	"1s.7d"	"3D"	"1"		"T8636c73"	"L14925c72"	
"370.5005"	"0.0010"	"370.4995740"	"0.0000021"	"3*"	"9.8814e+05"	AAA	"[169086.7664725]"	"[196069.67304998]"	"1s.2p"	"3P*"	"2"	"1s.7d"	"3D"	"2"		"T8636c73"	"L14925c72"	
"370.5005"	"0.0010"	"370.4995773"	"0.0000021"	"3*"	"3.9529e+06"	AAA	"[169086.7664725]"	"[196069.67280898]"	"1s.2p"	"3P*"	"2"	"1s.7d"	"3D"	"3"		"T8636c73"	"L14925c72"	
"370.5005"	"0.0010"	"370.5005762"	"0.0000021"	"3*"	"1.6470e+06"	AAA	"[169086.8428979]"	"[196069.67648966]"	"1s.2p"	"3P*"	"1"	"1s.7d"	"3D"	"1"		"T8636c73"	"L14925c72"	
"370.5005"	"0.0010"	"370.5006234"	"0.0000021"	"3*"	"2.9644e+06"	AAA	"[169086.8428979]"	"[196069.67304998]"	"1s.2p"	"3P*"	"1"	"1s.7d"	"3D"	"2"		"T8636c73"	"L14925c72"	
""	""	"370.5141421"	"0.0000021"	"0"	"2.1961e+06"	AAA	"[169087.8308131]"	"[196069.67648966]"	"1s.2p"	"3P*"	"0"	"1s.7d"	"3D"	"1"		"T8636c73"	"L366"	
""	""	"373.2863471"	"0.0000021"	"1*"	"8.2750e+05"	AAA	"[169086.7664725]"	"[195868.236975]"	"1s.2p"	"3P*"	"2"	"1s.7s"	"3S"	"1"		"T8636c73"	"L366"	
""	""	"373.2874124"	"0.0000021"	"1*"	"4.9650e+05"	AAA	"[169086.8428979]"	"[195868.236975]"	"1s.2p"	"3P*"	"1"	"1s.7s"	"3S"	"1"		"T8636c73"	"L366"	
