obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"487.6261"	""	"7.8e+05"	D	"104102.0990"	"124603.890"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<3/2>).7d"	"2[3/2]*"	"2"		"T1218n"	""	
""	"488.6290"	""	"1.2e+05"	E	"105462.7596"	"125922.47"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	"3s2.3p5.(2P*<3/2>).10d"	"2[7/2]*"	"4"		"T1164n"	""	
""	"488.7947"	""	"1.3e+06"	D	"104102.0990"	"124554.874"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<3/2>).7d"	"2[1/2]*"	"1"		"T1218n"	""	
""	"489.4691"	""	"1.8e+06"	D	"104102.0990"	"124526.695"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<3/2>).7d"	"2[1/2]*"	"0"		"T1218n"	""	
""	"492.1034"	""	"5.9e+04"	E	"105617.2700"	"125932.53"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	"3s2.3p5.(2P*<3/2>).10d"	"2[7/2]*"	"3"		"T1164n"	""	
""	"493.7720"	""	"3.6e+04"	E	"105462.7596"	"125709.37"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	"3s2.3p5.(2P*<3/2>).11s"	"2[3/2]*"	"2"		"T1164n"	""	
""	"495.6750"	""	"1.8e+05"	E	"105462.7596"	"125631.64"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	"3s2.3p5.(2P*<3/2>).9d"	"2[7/2]*"	"4"		"T1164n"	""	
""	"498.9943"	""	"1.1e+05"	E	"105617.2700"	"125651.99"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	"3s2.3p5.(2P*<3/2>).9d"	"2[7/2]*"	"3"		"T1164n"	""	
""	"503.2024"	""	"8.2e+04"	E	"105462.7596"	"125329.94"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	"3s2.3p5.(2P*<3/2>).10s"	"2[3/2]*"	"2"		"T1164n"	""	
""	"504.8811"	""	"4.6e+05"	D	"104102.0990"	"123903.220"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<3/2>).8s"	"2[3/2]*"	"2"		"T1218n"	""	
""	"505.4176"	""	"4.5e+05"	D	"104102.0990"	"123882.203"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<1/2>).7s"	"2[1/2]*"	"1"		"T1218n"	""	
""	"505.6529"	""	"5.7e+05"	D	"104102.0990"	"123873.000"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<1/2>).7s"	"2[1/2]*"	"0"		"T1218n"	""	
""	"506.0079"	""	"3.7e+05"	E	"105462.7596"	"125219.788"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	"3s2.3p5.(2P*<3/2>).8d"	"2[7/2]*"	"4"		"T1164n"	""	
""	"507.0977"	""	"2.6e+05"	E	"105617.2700"	"125331.84"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	"3s2.3p5.(2P*<3/2>).10s"	"2[3/2]*"	"1"		"T1164n"	""	
""	"507.3076"	""	"5.9e+04"	D	"104102.0990"	"123808.513"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<3/2>).6d"	"2[3/2]*"	"2"		"T1164n"	""	
""	"507.8033"	""	"4.7e+04"	E	"105462.7596"	"125149.937"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	"3s2.3p5.(2P*<1/2>).6d"	"2[5/2]*"	"3"		"T1164n"	""	
""	"508.7084"	""	"1.6e+05"	E	"105617.2700"	"125269.42"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	"3s2.3p5.(2P*<3/2>).8d"	"2[7/2]*"	"3"		"T1164n"	""	
""	"510.4729"	""	"8.7e+04"	E	"106087.2598"	"125671.48"	"3s2.3p5.(2P*<3/2>).4p"	"2[3/2]"	"1"	"3s2.3p5.(2P*<3/2>).9d"	"2[5/2]*"	"2"		"T1164n"	""	
""	"511.8202"	""	"2.7e+05"	D+	"105617.2700"	"125149.937"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	"3s2.3p5.(2P*<1/2>).6d"	"2[5/2]*"	"3"		"T1218n"	""	
""	"512.7801"	""	"3.3e+04"	D	"105617.2700"	"125113.376"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	"3s2.3p5.(2P*<1/2>).6d"	"2[5/2]*"	"2"		"T1218n"	""	
"515.1391"	"515.1391"	"5"	"2.39e+06"	C	"104102.0990"	"123508.927"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<3/2>).6d"	"2[1/2]*"	"0"		"T1218n"	"L2634"	
""	"515.2303"	""	"1.1e+05"	D	"104102.0990"	"123505.4896"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<1/2>).5d"	"2[5/2]*"	"2"		"T1218n"	""	
"516.2285"	"516.2285"	"15"	"1.90e+06"	C	"104102.0990"	"123467.9733"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<3/2>).6d"	"2[1/2]*"	"1"		"T1218n"	"L2634"	
""	"517.7536"	""	"2.4e+05"	D	"105462.7596"	"124771.59"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	"3s2.3p5.(2P*<3/2>).9s"	"2[3/2]*"	"2"		"T1218n"	""	
"518.7746"	"518.7746"	"20"	"1.38e+06"	C	"104102.0990"	"123372.9253"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<1/2>).5d"	"2[3/2]*"	"2"		"T1218n,T1164n"	"L2634"	
""	"519.2733"	""	"1.2e+04"	D	"105462.7596"	"124715.081"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	"3s2.3p5.(2P*<3/2>).7d"	"2[5/2]*"	"3"		"T1218n"	""	
""	"519.4052"	""	"7.8e+05"	D	"106087.2598"	"125334.69"	"3s2.3p5.(2P*<3/2>).4p"	"2[3/2]"	"1"	"3s2.3p5.(2P*<1/2>).8s"	"2[1/2]*"	"0"		"T1218n"	""	
""	"521.0486"	""	"1.1e+05"	D	"105462.7596"	"124649.485"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	"3s2.3p5.(2P*<3/2>).7d"	"2[7/2]*"	"3"		"T1164n"	""	
""	"521.4774"	""	"2.1e+05"	D	"105617.2700"	"124788.22"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	"3s2.3p5.(2P*<3/2>).7d"	"2[3/2]*"	"1"		"T1164n"	""	
""	"521.6300"	""	"1.3e+05"	D	"105617.2700"	"124782.61"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	"3s2.3p5.(2P*<3/2>).9s"	"2[3/2]*"	"1"		"T1164n"	""	
"522.1271"	"522.1270"	"7"	"8.8e+05"	D	"105462.7596"	"124609.856"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	"3s2.3p5.(2P*<3/2>).7d"	"2[7/2]*"	"4"		"T1164n"	"L2634"	
""	"524.1093"	""	"1.3e+05"	D	"105617.2700"	"124691.951"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	"3s2.3p5.(2P*<3/2>).7d"	"2[5/2]*"	"2"		"T1164n"	""	
""	"524.6198"	""	"1.2e+05"	E	"106237.5518"	"125293.67"	"3s2.3p5.(2P*<3/2>).4p"	"2[3/2]"	"2"	"3s2.3p5.(2P*<3/2>).8d"	"2[5/2]*"	"3"		"T1164n"	""	
""	"524.9165"	""	"7.9e+04"	E	"106237.5518"	"125282.90"	"3s2.3p5.(2P*<3/2>).4p"	"2[3/2]"	"2"	"3s2.3p5.(2P*<3/2>).8d"	"2[3/2]*"	"2"		"T1164n"	""	
""	"525.2787"	""	"5.4e+05"	D	"105617.2700"	"124649.485"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	"3s2.3p5.(2P*<3/2>).7d"	"2[7/2]*"	"3"		"T1164n"	""	
""	"525.4471"	""	"3.6e+05"	E	"106087.2598"	"125113.376"	"3s2.3p5.(2P*<3/2>).4p"	"2[3/2]"	"1"	"3s2.3p5.(2P*<1/2>).6d"	"2[5/2]*"	"2"		"T1164n"	""	
""	"528.6069"	""	"9.6e+04"	E	"106237.5518"	"125149.937"	"3s2.3p5.(2P*<3/2>).4p"	"2[3/2]"	"2"	"3s2.3p5.(2P*<1/2>).6d"	"2[5/2]*"	"3"		"T1164n"	""	
""	"529.0015"	""	"9.0e+04"	E	"106237.5518"	"125135.831"	"3s2.3p5.(2P*<3/2>).4p"	"2[3/2]"	"2"	"3s2.3p5.(2P*<3/2>).8d"	"2[1/2]*"	"1"		"T1164n"	""	
""	"530.9513"	""	"1.2e+05"	E	"106237.5518"	"125066.432"	"3s2.3p5.(2P*<3/2>).4p"	"2[3/2]"	"2"	"3s2.3p5.(2P*<1/2>).6d"	"2[3/2]*"	"2"		"T1164n"	""	
""	"531.7715"	""	"2.6e+05"	E	"107289.7001"	"126089.54"	"3s2.3p5.(2P*<1/2>).4p"	"2[3/2]"	"2"	"3s2.3p5.(2P*<1/2>).7d"	"2[5/2]*"	"3"		"T1164n"	""	
""	"537.3494"	""	"2.7e+05"	D	"106087.2598"	"124691.951"	"3s2.3p5.(2P*<3/2>).4p"	"2[3/2]"	"1"	"3s2.3p5.(2P*<3/2>).7d"	"2[5/2]*"	"2"		"T1164n"	""	
""	"539.3979"	""	"9.6e+04"	D	"106237.5518"	"124771.59"	"3s2.3p5.(2P*<3/2>).4p"	"2[3/2]"	"2"	"3s2.3p5.(2P*<3/2>).9s"	"2[3/2]*"	"2"		"T1164n"	""	
""	"541.0475"	""	"2.0e+05"	D	"106237.5518"	"124715.081"	"3s2.3p5.(2P*<3/2>).4p"	"2[3/2]"	"2"	"3s2.3p5.(2P*<3/2>).7d"	"2[5/2]*"	"3"		"T1164n"	""	
"542.1352"	"542.1351"	"5"	"6.0e+05"	D	"105462.7596"	"123903.220"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	"3s2.3p5.(2P*<3/2>).8s"	"2[3/2]*"	"2"		"T1164n"	"L2634"	
""	"543.9989"	""	"1.9e+05"	D+	"104102.0990"	"122479.3820"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<3/2>).7s"	"2[3/2]*"	"1"		"T1218n"	""	
""	"544.2246"	""	"9.3e+04"	D	"105462.7596"	"123832.419"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	"3s2.3p5.(2P*<3/2>).6d"	"2[5/2]*"	"3"		"T1164n"	""	
"545.1652"	"545.1652"	"10"	"4.7e+05"	D+	"104102.0990"	"122440.0672"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<3/2>).7s"	"2[3/2]*"	"2"		"T1218n"	"L2634"	
""	"545.7416"	""	"3.6e+05"	D	"105617.2700"	"123935.870"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	"3s2.3p5.(2P*<3/2>).8s"	"2[3/2]*"	"1"		"T1218n"	""	
""	"545.9651"	""	"3.8e+04"	D	"105462.7596"	"123773.8614"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	"3s2.3p5.(2P*<3/2>).6d"	"2[7/2]*"	"3"		"T1218n"	""	
""	"546.7160"	""	"7.6e+04"	D	"105617.2700"	"123903.220"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	"3s2.3p5.(2P*<3/2>).8s"	"2[3/2]*"	"2"		"T1218n"	""	
""	"547.3451"	""	"2.0e+05"	D	"105617.2700"	"123882.203"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	"3s2.3p5.(2P*<1/2>).7s"	"2[1/2]*"	"1"		"T1218n"	""	
""	"549.0120"	""	"8.5e+04"	D	"105617.2700"	"123826.750"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	"3s2.3p5.(2P*<3/2>).6d"	"2[5/2]*"	"2"		"T1164n"	""	
""	"549.2080"	""	"5.6e+05"	E	"107131.7086"	"125334.69"	"3s2.3p5.(2P*<1/2>).4p"	"2[3/2]"	"1"	"3s2.3p5.(2P*<1/2>).8s"	"2[1/2]*"	"0"		"T1164n"	""	
"549.5874"	"549.5873"	"25"	"1.69e+06"	C	"105462.7596"	"123653.177"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	"3s2.3p5.(2P*<3/2>).6d"	"2[7/2]*"	"4"		"T1218n"	"L2634"	
