obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"580.0226"	"580.0226+"	"203"	"2.4e+07"	C+	"13514.745"	"30750.672"	"6s.6p"	"3P*"	"2"	"6s.6d"	"3D"	"2"		"T5495"	"L9224"	
"580.5681"	"580.5681+"	"419"	"1.1e+06"	E	"9596.533"	"26816.266"	"6s.5d"	"3D"	"3"	"5d.6p"	"1F*"	"3"		"T4515"	"L9224"	
"581.8812"	"581.8813+"	"14"	""		"13514.745"	"30695.617"	"6s.6p"	"3P*"	"2"	"6s.6d"	"3D"	"1"		""	"L9224"	
"582.6274"	"582.6274+"	"610"	"4.5e+07"	B	"11395.350"	"28554.221"	"6s.5d"	"1D"	"2"	"5d.6p"	"1P*"	"1"		"T5037"	"L9224"	
"590.7636"	"590.7637+"	"94"	"3.6e+06"	E	"9033.966"	"25956.519"	"6s.5d"	"3D"	"1"	"5d.6p"	"3P*"	"2"		"T4515"	"L9224"	
"597.1698"	"597.1698+"	"700"	"1.6e+07"	C+	"9215.501"	"25956.519"	"6s.5d"	"3D"	"2"	"5d.6p"	"3P*"	"2"		"T5495"	"L9224"	
"597.8461"	"597.8461+"	"8"	""		"13514.745"	"30236.826"	"6s.6p"	"3P*"	"2"	"6s.6d"	"1D"	"2"		""	"L9224"	
"599.7087"	"599.7087+"	"620"	"2.8e+07"	C+	"9033.966"	"25704.110"	"6s.5d"	"3D"	"1"	"5d.6p"	"3P*"	"1"		"T5495"	"L9224"	
"601.9470"	"601.9470+"	"610"	"8.1e+07"	C	"9033.966"	"25642.126"	"6s.5d"	"3D"	"1"	"5d.6p"	"3P*"	"0"		"T5495"	"L9224"	
"606.3114"	"606.3114+"	"840"	"5.6e+07"	C+	"9215.501"	"25704.110"	"6s.5d"	"3D"	"2"	"5d.6p"	"3P*"	"1"		"T5495"	"L9224"	
"608.3394"	"608.3394+"	"5"	"1.1e+07"	D+	"18060.261"	"34493.904"	"6s.6p"	"1P*"	"1"	"6p2"	"3P"	"0"		"T5429"	"L9224"	
"611.0783"	"611.0783+"	"880"	"1.0e+08"	E	"9596.533"	"25956.519"	"6s.5d"	"3D"	"3"	"5d.6p"	"3P*"	"2"		"T4515"	"L9224"	
"612.9233"	"612.9233+"	"5"	"6.0e+06"	C	"18060.261"	"34371.002"	"6s.6p"	"1P*"	"1"	"6s.8s"	"1S"	"0"		"T5429"	"L9224"	
"634.1680"	"634.1680+"	"900"	"1.16e+07"	C+	"9215.501"	"24979.834"	"6s.5d"	"3D"	"2"	"5d.6p"	"3D*"	"3"		"T5495"	"L9224"	
"641.1112"	"641.1112+"	"3"	""		"12636.623"	"28230.231"	"6s.6p"	"3P*"	"1"	"6s.7s"	"1S"	"0"		""	"L9224"	
"645.0851"	"645.0851+"	"580"	"1.10e+07"	B	"9033.966"	"24531.513"	"6s.5d"	"3D"	"1"	"5d.6p"	"3D*"	"2"		"T5037,T5495"	"L9224"	
"648.2908"	"648.2908+"	"1770"	"4.4e+07"	E	"11395.350"	"26816.266"	"6s.5d"	"1D"	"2"	"5d.6p"	"1F*"	"3"		"T4515"	"L9224"	
"649.8760"	"649.8760+"	"1060"	"5.4e+07"	C+	"9596.533"	"24979.834"	"6s.5d"	"3D"	"3"	"5d.6p"	"3D*"	"3"		"T5495"	"L9224"	
"652.7311"	"652.7311+"	"890"	"3.3e+07"	B	"9215.501"	"24531.513"	"6s.5d"	"3D"	"2"	"5d.6p"	"3D*"	"2"		"T5037,T5495"	"L9224"	
