obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"493.512"	"493.5117"	"210"	"1.76e+06"	B	"86220.510"	"106477.800"	"2s2.2p2.(3P).3s"	"2P"	"3/2"	"2s2.2p2.(3P).4p"	"2S*"	"1/2"		"T5475n"	"L3513"	
"495.023"	""	"160"	""		""	""	""	""	""	""	""	""		""	"L3513"	
"496.398"	""	"350"	""		""	""	""	""	""	""	""	""		""	"L3513"	
""	"519.7902"	""	"1.60e-05"	B	"0.000"	"19233.177"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p3"	"2D*"	"3/2"	M1	"T7370"	""	
""	"519.7902"	""	"4.34e-06"	B	"0.000"	"19233.177"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p3"	"2D*"	"3/2"	E2	"T7370"	""	
""	"519.9837"	""	"1.87e+06"	D+	"93581.550"	"112807.567"	"2s2.2p2.(3P).3p"	"2S*"	"1/2"	"2s2.2p2.(3P).5d"	"2P"	"1/2"		"u18,LS"	""	
""	"520.0257"	""	"6.59e-06"	B	"0.000"	"19224.464"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p3"	"2D*"	"5/2"	E2	"T7370"	""	
""	"520.0257"	""	"9.71e-07"	B	"0.000"	"19224.464"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p3"	"2D*"	"5/2"	M1	"T7370"	""	
""	"520.1606"	""	"1.87e+06"	D+	"93581.550"	"112801.031"	"2s2.2p2.(3P).3p"	"2S*"	"1/2"	"2s2.2p2.(3P).5d"	"2P"	"3/2"		"u18,LS"	""	
"528.120"	"528.1204"	"185"	"2.45e+05"	C	"88107.260"	"107037.069"	"2s.2p4"	"4P"	"5/2"	"2s2.2p2.(3P).4p"	"4P*"	"5/2"		"T5475"	"L3513"	
"529.268"	""	"140"	""		""	""	""	""	""	""	""	""		""	"L3513"	
""	"531.039"	""	"9.40e+04"	D+	"96750.840"	"115576.6"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).9s"	"4P"	"5/2"		"T5723LS"	""	
""	"532.8617"	""	"2.05e+05"	D+	"88107.260"	"106868.635"	"2s.2p4"	"4P"	"5/2"	"2s2.2p2.(3P).4p"	"4D*"	"7/2"		"u18,LS"	""	
""	"533.337"	""	"9.28e+04"	D+	"96750.840"	"115495.5"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).9s"	"4P"	"3/2"		"T5723LS"	""	
""	"534.4049"	""	"6.10e+04"	D+	"88107.260"	"106814.459"	"2s.2p4"	"4P"	"5/2"	"2s2.2p2.(3P).4p"	"4D*"	"5/2"		"u18,LS"	""	
""	"534.649"	""	"9.21e+04"	D+	"96750.840"	"115449.5"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).9s"	"4P"	"1/2"		"T5723LS"	""	
""	"535.4388"	""	"1.01e+04"	D	"88107.260"	"106778.337"	"2s.2p4"	"4P"	"5/2"	"2s2.2p2.(3P).4p"	"4D*"	"3/2"		"u18,LS"	""	
""	"535.6623"	""	"1.41e+05"	D+	"88151.170"	"106814.459"	"2s.2p4"	"4P"	"3/2"	"2s2.2p2.(3P).4p"	"4D*"	"5/2"		"u18,LS"	""	
""	"536.7010"	""	"1.07e+05"	D+	"88151.170"	"106778.337"	"2s.2p4"	"4P"	"3/2"	"2s2.2p2.(3P).4p"	"4D*"	"3/2"		"u18,LS"	""	
""	"537.2606"	""	"8.34e+04"	D+	"88170.570"	"106778.337"	"2s.2p4"	"4P"	"1/2"	"2s2.2p2.(3P).4p"	"4D*"	"3/2"		"u18,LS"	""	
