obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"592.77887"	"0.00011"	"592.77884"	"0.00005"	"129"	"5.4e+06"	E	"37521.161"	"54386.186"	"3d7.(4F).4p"	"y 3F*"	"2"	"3d7.(4F).4d"	"g 5F"	"1"		"T2578n"	"L11631"	
"592.96768"	"0.00011"	"592.96758"	"0.00005"	"123"	"1.1e+06"	E	"36686.176"	"53545.833"	"3d7.(4F).4p"	"y 3F*"	"4"	"3d7.(4F).4d"	"h 5D"	"3"		"T2578n"	"L11631"	
"593.01795"	"0.00011"	"593.01802"	"0.00005"	"1070"	""		"37521.161"	"54379.384"	"3d7.(4F).4p"	"y 3F*"	"2"	"3d7.(4F).4d"	"e 3G"	"3"		""	"L11631"	
"593.1890"	"0.0003"	"593.18921"	"0.00008"	"3"	""		"32873.632"	"49726.990"	"3d8"	"c 3F"	"4"	"3d7.(2G).4p"	"y 3H*"	"4"		""	"L11631"	
"593.3800"	"0.0003"	"593.37972"	"0.00005"	"8"	""		"37409.555"	"54257.502"	"3d6.(5D).4s.4p.(1P*)"	"y 5P*"	"1"	"3d7.(4F).4d"	"g 5F"	"2"		""	"L11631"	
"593.46546"	"0.00011"	"593.46542"	"0.00005"	"740"	"2.0e+06"	D	"31686.351"	"48531.865"	"3d6.(5D).4s.4p.(3P*)"	"z 3D*"	"2"	"3d7.(4F).5s"	"e 3F"	"3"		"T2578n"	"L11631"	
"593.5129"	"0.0003"	"593.51313"	"0.00008"	"2"	""		"36940.590"	"53784.750"	"3d7.(2F).4s"	"d 3F"	"2"	"3d7.(4F).5p"	"5D*"	"3"		""	"L11631"	
"593.6937"	"0.0005"	"593.69377"	"0.00008"	"1"	""		"40231.336"	"57070.371"	"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"2"	"3d6.4s.(6D).5d"	"7D"	"3"		""	"L11631"	
"593.9240"	"0.0003"	"593.92384"	"0.00008"	"1"	""		"26627.609"	"43460.121"	"3d7.(2H).4s"	"b 3H"	"4"	"3d6.(3H).4s.4p.(3P*)"	"z 5I*"	"5"		""	"L11631"	
"594.0452"	"0.0005"	"594.04556"	"0.00011"	"1"	""		"40491.284"	"57320.347"	"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"0"	"3d6.4s.(6D).5d"	"7G"	"1"		""	"L11631"	
"594.09911"	"0.00011"	"594.09908"	"0.00005"	"38"	""		"33695.397"	"50522.944"	"3d7.(4F).4p"	"y 5F*"	"5"	"3d6.(5D).4s (6D).4d"	"e 5G"	"6"		""	"L11631"	
"594.31003"	"0.00011"	"594.31011"	"0.00008"	"17"	""		"33765.306"	"50586.878"	"3d8"	"c 3F"	"2"	"3d7.(2G).4p"	"z 1F*"	"3"		""	"L11631"	
"594.35780"	"0.00011"	"594.35777"	"0.00005"	"10"	""		"17726.988"	"34547.211"	"3d7.(4P).4s"	"a 5P"	"2"	"3d7.(4F).4p"	"y 5F*"	"2"		""	"L11631"	
"594.3624"	"0.0007"	"594.36226"	"0.00005"	"4bl"	""		"34328.752"	"51148.848"	"3d7.(4F).4p"	"y 5F*"	"3"	"3d6.(5D).4s (6D).4d"	"e 7F"	"3"		""	"L11631"	
"594.5390"	"0.0003"	"594.53900"	"0.00011"	"1"	""		"26627.609"	"43442.705"	"3d7.(2H).4s"	"b 3H"	"4"	"3d6.(3H).4s.4p.(3P*)"	"z 5I*"	"4"		""	"L11631"	
"594.75111"	"0.00011"	"594.75122"	"0.00005"	"14"	""		"37157.566"	"53966.662"	"3d6.(5D).4s.4p.(1P*)"	"y 5P*"	"2"	"3d7.(4F).4d"	"h 5D"	"2"		""	"L11631"	
"594.9279"	"0.0007"	"594.92811"	"0.00005"	"59bl"	""		"7376.764"	"24180.862"	"3d7.(4F).4s"	"a 5F"	"4"	"3d6.(5D).4s.4p.(3P*)"	"z 7P*"	"3"		""	"L11631"	
"594.93466"	"0.00011"	"594.93456"	"0.00005"	"81"	""		"37162.746"	"53966.662"	"3d7.(4F).4p"	"y 3F*"	"3"	"3d7.(4F).4d"	"h 5D"	"2"		""	"L11631"	
"595.14532"	"0.00011"	"595.14575"	"0.00008"	"15"	""		"26105.908"	"42903.861"	"3d7.(2H).4s"	"b 3H"	"6"	"3d6.(3H).4s.4p.(3P*)"	"z 5I*"	"6"		""	"L11631"	
"595.27180"	"0.00011"	"595.27177"	"0.00005"	"347"	"1.5e+06"	D	"32133.991"	"48928.388"	"3d6.(5D).4s.4p.(3P*)"	"z 3F*"	"2"	"3d7.(4F).5s"	"e 3F"	"2"		"T2578n"	"L11631"	
"595.2885"	"0.0003"	"595.28860"	"0.00005"	"2"	""		"34039.516"	"50833.438"	"3d7.(4F).4p"	"y 5F*"	"4"	"3d6.(5D).4s (6D).4d"	"e 7F"	"5"		""	"L11631"	
"595.3597"	"0.0003"	"595.35968"	"0.00005"	"1"	""		"37045.934"	"53837.851"	"3d7.(2F).4s"	"d 3F"	"4"	"3d7.(4F).5p"	"3D*"	"3"		""	"L11631"	
"595.6460"	"0.0003"	"595.64616"	"0.00005"	"1"	""		"34547.211"	"51331.052"	"3d7.(4F).4p"	"y 5F*"	"2"	"3d6.(5D).4s (6D).4d"	"e 7F"	"2"		""	"L11631"	
"595.66940"	"0.00011"	"595.66934"	"0.00005"	"407"	"5.15e+02"	B+	"6928.268"	"23711.456"	"3d7.(4F).4s"	"a 5F"	"5"	"3d6.(5D).4s.4p.(3P*)"	"z 7P*"	"4"		"T4920"	"L11631"	
"595.7864"	"0.0003"	"595.78638"	"0.00005"	"2"	""		"33695.397"	"50475.288"	"3d7.(4F).4p"	"y 5F*"	"5"	"3d6.(5D).4s (6D).4d"	"e 7P"	"4"		""	"L11631"	
"595.8228"	"0.0007"	"595.82274"	"0.00005"	"16bl*"	""		"36766.966"	"53545.833"	"3d6.(5D).4s.4p.(1P*)"	"y 5P*"	"3"	"3d7.(4F).4d"	"h 5D"	"3"		""	"L11631"	
"595.8228"	"0.0007"	"595.82309"	"0.00005"	"16bl*"	""		"7728.060"	"24506.917"	"3d7.(4F).4s"	"a 5F"	"3"	"3d6.(5D).4s.4p.(3P*)"	"z 7P*"	"2"		""	"L11631"	
"595.83328"	"0.00011"	"595.83325"	"0.00005"	"14"	""		"17550.181"	"34328.752"	"3d7.(4P).4s"	"a 5P"	"3"	"3d7.(4F).4p"	"y 5F*"	"3"		""	"L11631"	
"595.99142"	"0.00011"	"595.99146"	"0.00005"	"7"	""		"33412.717"	"50186.834"	"3d8"	"c 3F"	"3"	"3d7.(2P).4p"	"w 3P*"	"2"		""	"L11631"	
