obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"542.5253"	"0.0003"	"542.5249"	"8000000"	"1.4e+08"		"104984.138"	"123411.351"	"5d10.6d"	"2D"	"3/2"	"5d10.5f"	"2F*"	"5/2"		"T7226"	"L11760"	
"546.5286"	"0.0003"	""	"250"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"559.5268"	"0.0005"	"559.5260"	"200000"	"8.8e+06"		"105544.042"	"123411.351"	"5d10.6d"	"2D"	"5/2"	"5d10.5f"	"2F*"	"5/2"		"T7226"	"L11760"	
"567.7105"	"0.0003"	"567.7102"	"20000000E"	"1.8e+08"		"105544.042"	"123153.775"	"5d10.6d"	"2D"	"5/2"	"5d10.5f"	"2F*"	"7/2"		"T7226"	"L11760"	
"569.8590"	"0.0003"	"569.8593"	"1500c"	"4.6e+06"		"103873.302"	"121416.626"	"5d9.6s.6p"	"(2D<3/2>,3P<1>)*"	"1/2"	"5d10.8s"	"2S"	"1/2"		"T7226"	"L11760"	
"585.1758"	"0.0004"	"585.1766"	"1300c"	"8.0e+06"		"121960.399"	"139044.521"	"5d9.6s.6p"	"(2D<3/2>,1P<1>)*"	"5/2"	"5d10.6g"	"2G"	"7/2"		"T7226"	"L11760"	
"587.0899"	"0.0003"	""	"80p"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"587.1279"	"0.0003"	"587.12779"	"1200000"	"1.0e+08"		"108298.183"	"125325.531"	"5d10.7p"	"2P*"	"1/2"	"5d10.7d"	"2D"	"3/2"		"T7226"	"L11760"	
"587.1572"	"0.0003"	""	"50u"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"587.1921"	"0.0003"	""	"600h"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"588.8939"	"0.0003"	"588.8947"	"2000000c"	"3.8e+07"		"104984.138"	"121960.399"	"5d10.6d"	"2D"	"3/2"	"5d9.6s.6p"	"(2D<3/2>,1P<1>)*"	"5/2"		"T7226"	"L11760"	
"591.8496"	"0.0003"	"591.8496"	"10w"	"3.3e+06"		"127795.481"	"144686.984"	"5d10.8p"	"2P*"	"3/2"	"5d10.11d"	"2D"	"5/2"		"T7226"	"L11760"	
"594.7680"	"0.0003"	"594.7682"	"150"	"4.5e+06"		"125325.531"	"142134.148"	"5d10.7d"	"2D"	"3/2"	"5d10.8f"	"2F*"	"5/2"		"T7226"	"L11760"	
"596.1509"	"0.0006"	"596.1520"	"1500c"	"1.8e+06"		"104984.138"	"121753.739"	"5d10.6d"	"2D"	"3/2"	"5d9.6s.6p"	"(2D<3/2>,1P<1>)*"	"1/2"		"T7226"	"L11760"	
"597.8916"	"0.0003"	""	"180h"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"603.2653"	"0.0003"	""	"60h"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"604.1045"	"0.0003"	"604.1047"	"180h"	"4.5e+06"		"125579.636"	"142128.476"	"5d10.7d"	"2D"	"5/2"	"5d10.8f"	"2F*"	"7/2"		"T7226"	"L11760"	
"608.9794"	"0.0004"	"608.9800"	"8000c"	"2.7e+06"		"105544.042"	"121960.399"	"5d10.6d"	"2D"	"5/2"	"5d9.6s.6p"	"(2D<3/2>,1P<1>)*"	"5/2"		"T7226"	"L11760"	
"610.0096"	"0.0003"	""	"100"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"610.0332"	"0.0004"	"610.0342"	"5000c"	"1.8e+07"		"109191.648"	"125579.636"	"5d9.6s.6p"	"(2D<3/2>,3P<2>)*"	"3/2"	"5d10.7d"	"2D"	"5/2"		"T7226"	"L11760"	
"614.1773"	"0.0003"	""	"150"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"614.6435"	"0.0003"	""	"1500000"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"614.6845"	"0.0003"	""	"350w"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"614.94750"	"0.00010"	"614.94726"	"25000000c"	"6.2e+07"		"95714.406"	"111971.464"	"5d10.7s"	"2S"	"1/2"	"5d10.7p"	"2P*"	"3/2"		"T7226"	"L11760"	
"615.2002"	"0.0003"	""	"120"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"615.7138"	"0.0003"	""	"120"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"615.8303"	"0.0003"	""	"1000"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"619.4289"	"0.0003"	""	"70h"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"619.6409"	"0.0003"	"619.6421"	"250c"	"3.0e+06"		"109191.648"	"125325.531"	"5d9.6s.6p"	"(2D<3/2>,3P<2>)*"	"3/2"	"5d10.7d"	"2D"	"3/2"		"T7226"	"L11760"	
"624.2222"	"0.0003"	""	"65000"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"629.1228"	"0.0003"	"629.1230"	"65000"	"2.6e+07"		"123153.775"	"139044.524"	"5d10.5f"	"2F*"	"7/2"	"5d10.6g"	"2G"	"9/2"		"T7226"	"L11760"	
"636.0199"	"0.0003"	"636.0199"	"150h"	"4.8e+06"		"126941.844"	"142660.277"	"5d10.8p"	"2P*"	"1/2"	"5d10.10d"	"2D"	"3/2"		"T7226"	"L11760"	
"639.4890"	"0.0003"	"639.4888"	"55000"	"1.8e+07"		"123411.351"	"139044.521"	"5d10.5f"	"2F*"	"5/2"	"5d10.6g"	"2G"	"7/2"		"T7226"	"L11760"	
"644.0547"	"0.0003"	"644.0548"	"30h"	"1.8e+05"		"124614.794"	"140137.134"	"5d9.6s.6p"	"(2D<3/2>,1P<1>)*"	"3/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<2>,1/2]"	"5/2"		"T7226"	"L11760"	
"652.1092"	"0.0003"	"652.1095"	"150000c"	"1.6e+07"		"106086.013"	"121416.626"	"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"3/2"	"5d10.8s"	"2S"	"1/2"		"T7226"	"L11760"	
"664.66840"	"0.00010"	"664.66839"	"1300"	""		"35514.624"	"50555.567"	"5d9.6s2"	"2D"	"5/2"	"5d9.6s2"	"2D"	"3/2"	UT	""	"L11760"	
"670.2030"	"0.0003"	"670.2032"	"170h"	"5.3e+06"		"127795.481"	"142712.211"	"5d10.8p"	"2P*"	"3/2"	"5d10.10d"	"2D"	"5/2"		"T7226"	"L11760"	
"694.5474"	"0.0003"	"694.5474"	"120h"	"2.2e+06"		"121416.626"	"135810.522"	"5d10.8s"	"2S"	"1/2"	"5d10.9p"	"2P*"	"3/2"		"T7226"	"L11760"	
"734.6508"	"0.0003"	"734.6502"	"600000E"	"5.3e+07"		"111971.464"	"125579.636"	"5d10.7p"	"2P*"	"3/2"	"5d10.7d"	"2D"	"5/2"		"T7226"	"L11760"	
"739.5622"	"0.0003"	""	"1200h"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"741.1852"	"0.0003"	"741.1852"	"600w"	"1.1e+07"		"125325.531"	"138813.721"	"5d10.7d"	"2D"	"3/2"	"5d10.7f"	"2F*"	"5/2"		"T7226"	"L11760"	
"741.7864"	"0.0004"	"741.7873"	"18000c"	"1.2e+07"		"95714.406"	"109191.648"	"5d10.7s"	"2S"	"1/2"	"5d9.6s.6p"	"(2D<3/2>,3P<2>)*"	"3/2"		"T7226"	"L11760"	
"748.6298"	"0.0003"	"748.6294"	"6500w"	"8.5e+06"		"111971.464"	"125325.531"	"5d10.7p"	"2P*"	"3/2"	"5d10.7d"	"2D"	"3/2"		"T7226"	"L11760"	
"756.4534"	"0.0003"	"756.4535"	"12000h"	"1.1e+07"		"125579.636"	"138795.581"	"5d10.7d"	"2D"	"5/2"	"5d10.7f"	"2F*"	"7/2"		"T7226"	"L11760"	
"762.0763"	"0.0003"	"762.0758"	"60000h"	"4.0e+07"		"108298.183"	"121416.626"	"5d10.7p"	"2P*"	"1/2"	"5d10.8s"	"2S"	"1/2"		"T7226"	"L11760"	
"777.1951"	"0.0004"	""	"2000w"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"788.1034"	"0.0002"	"788.1035"	"110h"	"9.5e+06"		"126941.844"	"139627.043"	"5d10.8p"	"2P*"	"1/2"	"5d10.9d"	"2D"	"3/2"		"T7226"	"L11760"	
"794.4555"	"0.0002"	"794.4554"	"25000000"	"4.3e+07"		"95714.406"	"108298.183"	"5d10.7s"	"2S"	"1/2"	"5d10.7p"	"2P*"	"1/2"		"T7226"	"L11760"	
